Sourcefile	20240228 150927 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 03:11:21.223 

Start Time	28.02.2024 03:09:38.787 
End Time	28.02.2024 03:10:34.321 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 03:09:38.786 	0.000	6.197474e-007	28.02.2024 03:09:38.837 	0.050	1.780842e-008	28.02.2024 03:09:38.887 	0.100	6.499512e-012	28.02.2024 03:09:38.936 	0.150	6.140855e-011
28.02.2024 03:09:38.988 	0.201	6.197099e-007	28.02.2024 03:09:39.038 	0.251	1.779125e-008	28.02.2024 03:09:39.088 	0.301	6.460629e-012	28.02.2024 03:09:39.137 	0.351	6.116666e-011
28.02.2024 03:09:39.187 	0.401	6.194765e-007	28.02.2024 03:09:39.238 	0.451	1.780682e-008	28.02.2024 03:09:39.288 	0.502	6.583218e-012	28.02.2024 03:09:39.338 	0.552	6.162472e-011
28.02.2024 03:09:39.389 	0.602	6.194038e-007	28.02.2024 03:09:39.440 	0.653	1.778286e-008	28.02.2024 03:09:39.489 	0.703	6.434288e-012	28.02.2024 03:09:39.539 	0.753	6.072276e-011
28.02.2024 03:09:39.591 	0.804	6.192619e-007	28.02.2024 03:09:39.640 	0.854	1.779353e-008	28.02.2024 03:09:39.690 	0.904	6.595044e-012	28.02.2024 03:09:39.741 	0.954	6.156085e-011
28.02.2024 03:09:39.791 	1.004	6.188317e-007	28.02.2024 03:09:39.840 	1.054	1.777400e-008	28.02.2024 03:09:39.890 	1.104	6.413945e-012	28.02.2024 03:09:39.942 	1.155	6.088580e-011
28.02.2024 03:09:39.992 	1.205	6.189203e-007	28.02.2024 03:09:40.041 	1.255	1.777874e-008	28.02.2024 03:09:40.093 	1.306	6.643396e-012	28.02.2024 03:09:40.143 	1.356	6.054322e-011
28.02.2024 03:09:40.192 	1.406	6.188736e-007	28.02.2024 03:09:40.242 	1.456	1.776454e-008	28.02.2024 03:09:40.293 	1.506	6.476286e-012	28.02.2024 03:09:40.343 	1.556	6.090754e-011
28.02.2024 03:09:40.392 	1.606	6.186797e-007	28.02.2024 03:09:40.442 	1.656	1.776050e-008	28.02.2024 03:09:40.493 	1.706	6.646038e-012	28.02.2024 03:09:40.543 	1.756	6.057242e-011
28.02.2024 03:09:40.592 	1.806	6.185921e-007	28.02.2024 03:09:40.642 	1.856	1.774485e-008	28.02.2024 03:09:40.694 	1.907	6.671302e-012	28.02.2024 03:09:40.744 	1.957	6.152757e-011
28.02.2024 03:09:40.794 	2.008	6.182137e-007	28.02.2024 03:09:40.845 	2.058	1.774417e-008	28.02.2024 03:09:40.895 	2.108	6.560593e-012	28.02.2024 03:09:40.944 	2.158	6.142177e-011
28.02.2024 03:09:40.994 	2.208	6.178130e-007	28.02.2024 03:09:41.045 	2.258	1.772181e-008	28.02.2024 03:09:41.096 	2.309	6.501433e-012	28.02.2024 03:09:41.145 	2.359	6.117573e-011
28.02.2024 03:09:41.196 	2.409	6.177207e-007	28.02.2024 03:09:41.246 	2.459	1.771846e-008	28.02.2024 03:09:41.296 	2.509	6.507729e-012	28.02.2024 03:09:41.345 	2.559	6.087544e-011
28.02.2024 03:09:41.395 	2.609	6.175405e-007	28.02.2024 03:09:41.446 	2.659	1.772113e-008	28.02.2024 03:09:41.496 	2.710	6.453471e-012	28.02.2024 03:09:41.546 	2.760	6.136186e-011
28.02.2024 03:09:41.597 	2.810	6.173675e-007	28.02.2024 03:09:41.647 	2.860	1.771564e-008	28.02.2024 03:09:41.697 	2.911	6.568597e-012	28.02.2024 03:09:41.747 	2.961	6.083864e-011
28.02.2024 03:09:41.798 	3.011	6.175612e-007	28.02.2024 03:09:41.848 	3.062	1.771769e-008	28.02.2024 03:09:41.900 	3.113	6.536036e-012	28.02.2024 03:09:41.950 	3.163	6.206958e-011
28.02.2024 03:09:42.000 	3.213	6.172560e-007	28.02.2024 03:09:42.049 	3.263	1.769244e-008	28.02.2024 03:09:42.101 	3.314	6.338673e-012	28.02.2024 03:09:42.151 	3.364	6.189977e-011
28.02.2024 03:09:42.200 	3.414	6.169934e-007	28.02.2024 03:09:42.250 	3.464	1.771120e-008	28.02.2024 03:09:42.301 	3.514	6.616959e-012	28.02.2024 03:09:42.352 	3.565	6.234591e-011
28.02.2024 03:09:42.400 	3.614	6.172765e-007	28.02.2024 03:09:42.450 	3.664	1.772417e-008	28.02.2024 03:09:42.502 	3.715	6.428451e-012	28.02.2024 03:09:42.552 	3.765	6.216365e-011
28.02.2024 03:09:42.601 	3.815	6.170101e-007	28.02.2024 03:09:42.652 	3.865	1.770129e-008	28.02.2024 03:09:42.702 	3.915	6.487486e-012	28.02.2024 03:09:42.752 	3.965	6.276620e-011
28.02.2024 03:09:42.801 	4.015	6.166892e-007	28.02.2024 03:09:42.851 	4.065	1.771083e-008	28.02.2024 03:09:42.903 	4.116	6.723317e-012	28.02.2024 03:09:42.952 	4.166	6.166348e-011
28.02.2024 03:09:43.004 	4.217	6.164349e-007	28.02.2024 03:09:43.054 	4.267	1.771715e-008	28.02.2024 03:09:43.104 	4.317	6.810082e-012	28.02.2024 03:09:43.153 	4.367	6.219557e-011
28.02.2024 03:09:43.203 	4.417	6.163564e-007	28.02.2024 03:09:43.254 	4.467	1.768367e-008	28.02.2024 03:09:43.304 	4.517	6.951349e-012	28.02.2024 03:09:43.353 	4.567	6.281848e-011
28.02.2024 03:09:43.404 	4.617	6.159887e-007	28.02.2024 03:09:43.454 	4.667	1.767802e-008	28.02.2024 03:09:43.504 	4.717	8.364589e-012	28.02.2024 03:09:43.554 	4.768	7.070367e-011
28.02.2024 03:09:43.605 	4.818	6.157429e-007	28.02.2024 03:09:43.655 	4.868	1.766649e-008	28.02.2024 03:09:43.704 	4.918	1.236327e-011	28.02.2024 03:09:43.754 	4.968	1.175391e-010
28.02.2024 03:09:43.805 	5.018	6.145913e-007	28.02.2024 03:09:43.856 	5.069	1.761575e-008	28.02.2024 03:09:43.905 	5.119	2.740233e-011	28.02.2024 03:09:43.955 	5.169	2.889970e-010
28.02.2024 03:09:44.007 	5.220	6.130283e-007	28.02.2024 03:09:44.056 	5.269	1.752679e-008	28.02.2024 03:09:44.105 	5.319	6.239285e-011	28.02.2024 03:09:44.156 	5.369	7.367647e-010
28.02.2024 03:09:44.207 	5.420	6.101314e-007	28.02.2024 03:09:44.256 	5.470	1.738219e-008	28.02.2024 03:09:44.306 	5.520	1.272960e-010	28.02.2024 03:09:44.361 	5.575	1.710536e-009
