Sourcefile	20240229 131412 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 01:16:01.099 

Start Time	29.02.2024 01:14:27.088 
End Time	29.02.2024 01:15:18.933 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 01:14:27.088 	0.000	6.194680e-007	29.02.2024 01:14:27.137 	0.050	7.636430e-009	29.02.2024 01:14:27.187 	0.100	9.612990e-010	29.02.2024 01:14:27.238 	0.150	1.225072e-008
29.02.2024 01:14:27.288 	0.200	6.193176e-007	29.02.2024 01:14:27.337 	0.250	7.641692e-009	29.02.2024 01:14:27.388 	0.300	9.668542e-010	29.02.2024 01:14:27.438 	0.350	1.225728e-008
29.02.2024 01:14:27.488 	0.401	6.191864e-007	29.02.2024 01:14:27.538 	0.451	7.644902e-009	29.02.2024 01:14:27.589 	0.501	9.643206e-010	29.02.2024 01:14:27.640 	0.552	1.224835e-008
29.02.2024 01:14:27.689 	0.602	6.188349e-007	29.02.2024 01:14:27.740 	0.652	7.622163e-009	29.02.2024 01:14:27.790 	0.702	9.632982e-010	29.02.2024 01:14:27.840 	0.752	1.224591e-008
29.02.2024 01:14:27.889 	0.802	6.188294e-007	29.02.2024 01:14:27.939 	0.852	7.635361e-009	29.02.2024 01:14:27.990 	0.902	9.650987e-010	29.02.2024 01:14:28.040 	0.952	1.225278e-008
29.02.2024 01:14:28.089 	1.002	6.187623e-007	29.02.2024 01:14:28.140 	1.052	7.629104e-009	29.02.2024 01:14:28.190 	1.102	9.640688e-010	29.02.2024 01:14:28.240 	1.152	1.224637e-008
29.02.2024 01:14:28.289 	1.202	6.189712e-007	29.02.2024 01:14:28.339 	1.252	7.619185e-009	29.02.2024 01:14:28.390 	1.302	9.634891e-010	29.02.2024 01:14:28.440 	1.352	1.224645e-008
29.02.2024 01:14:28.489 	1.402	6.189571e-007	29.02.2024 01:14:28.540 	1.452	7.635743e-009	29.02.2024 01:14:28.590 	1.502	9.651522e-010	29.02.2024 01:14:28.640 	1.553	1.226171e-008
29.02.2024 01:14:28.690 	1.603	6.187669e-007	29.02.2024 01:14:28.741 	1.653	7.633991e-009	29.02.2024 01:14:28.791 	1.703	9.622755e-010	29.02.2024 01:14:28.840 	1.753	1.224598e-008
29.02.2024 01:14:28.890 	1.803	6.183769e-007	29.02.2024 01:14:28.941 	1.853	7.622773e-009	29.02.2024 01:14:28.991 	1.903	9.685174e-010	29.02.2024 01:14:29.040 	1.953	1.223843e-008
29.02.2024 01:14:29.091 	2.004	6.185836e-007	29.02.2024 01:14:29.142 	2.054	7.613236e-009	29.02.2024 01:14:29.192 	2.104	9.651829e-010	29.02.2024 01:14:29.241 	2.154	1.224919e-008
29.02.2024 01:14:29.292 	2.204	6.189492e-007	29.02.2024 01:14:29.342 	2.254	7.625903e-009	29.02.2024 01:14:29.392 	2.304	9.629088e-010	29.02.2024 01:14:29.442 	2.355	1.224385e-008
29.02.2024 01:14:29.493 	2.405	6.193313e-007	29.02.2024 01:14:29.543 	2.455	7.636960e-009	29.02.2024 01:14:29.593 	2.506	9.675329e-010	29.02.2024 01:14:29.642 	2.555	1.226056e-008
29.02.2024 01:14:29.694 	2.606	6.217007e-007	29.02.2024 01:14:29.744 	2.656	7.701214e-009	29.02.2024 01:14:29.793 	2.706	9.471222e-010	29.02.2024 01:14:29.843 	2.756	1.183807e-008
29.02.2024 01:14:29.894 	2.806	6.280415e-007	29.02.2024 01:14:29.944 	2.857	7.861449e-009	29.02.2024 01:14:29.994 	2.907	8.269594e-010	29.02.2024 01:14:30.045 	2.957	9.911640e-009
29.02.2024 01:14:30.095 	3.007	6.356046e-007	29.02.2024 01:14:30.144 	3.057	8.048773e-009	29.02.2024 01:14:30.198 	3.110	5.691910e-010	29.02.2024 01:14:30.248 	3.161	6.908878e-009
29.02.2024 01:14:30.298 	3.211	6.409869e-007	29.02.2024 01:14:30.349 	3.261	8.195813e-009	29.02.2024 01:14:30.399 	3.311	3.651652e-010	29.02.2024 01:14:30.448 	3.361	4.450287e-009
29.02.2024 01:14:30.498 	3.411	6.423179e-007	29.02.2024 01:14:30.549 	3.461	8.268679e-009	29.02.2024 01:14:30.599 	3.511	2.331927e-010	29.02.2024 01:14:30.649 	3.562	2.883462e-009
29.02.2024 01:14:30.700 	3.612	6.401295e-007	29.02.2024 01:14:30.750 	3.662	8.282033e-009	29.02.2024 01:14:30.800 	3.712	1.593815e-010	29.02.2024 01:14:30.849 	3.762	2.022106e-009
29.02.2024 01:14:30.899 	3.812	6.357098e-007	29.02.2024 01:14:30.950 	3.862	8.258685e-009	29.02.2024 01:14:31.000 	3.912	1.196237e-010	29.02.2024 01:14:31.049 	3.962	1.553596e-009
29.02.2024 01:14:31.100 	4.012	6.304558e-007	29.02.2024 01:14:31.151 	4.063	8.227248e-009	29.02.2024 01:14:31.200 	4.113	9.789101e-011	29.02.2024 01:14:31.249 	4.162	1.271861e-009
29.02.2024 01:14:31.299 	4.212	6.251626e-007	29.02.2024 01:14:31.350 	4.262	8.298667e-009	29.02.2024 01:14:31.400 	4.312	8.314614e-011	29.02.2024 01:14:31.449 	4.362	1.099934e-009
29.02.2024 01:14:31.501 	4.413	6.208841e-007	29.02.2024 01:14:31.551 	4.463	8.467753e-009	29.02.2024 01:14:31.600 	4.513	7.319083e-011	29.02.2024 01:14:31.650 	4.563	9.772234e-010
29.02.2024 01:14:31.701 	4.613	6.174058e-007	29.02.2024 01:14:31.752 	4.664	8.644013e-009	29.02.2024 01:14:31.801 	4.714	6.560529e-011	29.02.2024 01:14:31.852 	4.764	8.838589e-010
29.02.2024 01:14:31.902 	4.814	6.152973e-007	29.02.2024 01:14:31.952 	4.864	8.765720e-009	29.02.2024 01:14:32.001 	4.914	6.029124e-011	29.02.2024 01:14:32.051 	4.964	8.118745e-010
29.02.2024 01:14:32.102 	5.014	6.139826e-007	29.02.2024 01:14:32.152 	5.065	8.877350e-009	29.02.2024 01:14:32.202 	5.115	5.697113e-011	29.02.2024 01:14:32.253 	5.165	7.483978e-010
29.02.2024 01:14:32.303 	5.215	6.130899e-007	29.02.2024 01:14:32.352 	5.265	8.955102e-009	29.02.2024 01:14:32.402 	5.315	5.182212e-011	29.02.2024 01:14:32.453 	5.365	6.936501e-010
29.02.2024 01:14:32.503 	5.415	6.121072e-007	29.02.2024 01:14:32.552 	5.465	9.051324e-009	29.02.2024 01:14:32.602 	5.515	4.840237e-011	29.02.2024 01:14:32.656 	5.569	6.171286e-010
29.02.2024 01:14:32.706 	5.619	6.117912e-007	29.02.2024 01:14:32.757 	5.669	9.157079e-009	29.02.2024 01:14:32.807 	5.719	4.566102e-011	29.02.2024 01:14:32.856 	5.769	5.795171e-010
29.02.2024 01:14:32.906 	5.819	6.114699e-007	29.02.2024 01:14:32.957 	5.869	9.229644e-009	29.02.2024 01:14:33.007 	5.919	4.170348e-011	29.02.2024 01:14:33.056 	5.969	5.443702e-010
29.02.2024 01:14:33.106 	6.019	6.112427e-007	29.02.2024 01:14:33.157 	6.069	9.287633e-009	29.02.2024 01:14:33.207 	6.119	4.027142e-011	29.02.2024 01:14:33.256 	6.169	5.136437e-010
