Sourcefile	20240229 161356 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 04:16:40.456 

Start Time	29.02.2024 04:14:12.983 
End Time	29.02.2024 04:14:58.249 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 04:14:12.983 	0.000	6.063996e-007	29.02.2024 04:14:13.032 	0.050	1.128640e-008	29.02.2024 04:14:13.081 	0.099	8.570021e-010	29.02.2024 04:14:13.137 	0.155	1.653102e-008
29.02.2024 04:14:13.186 	0.204	5.936150e-007	29.02.2024 04:14:13.238 	0.255	9.726222e-009	29.02.2024 04:14:13.293 	0.310	1.997444e-009	29.02.2024 04:14:13.343 	0.360	2.750419e-008
29.02.2024 04:14:13.392 	0.410	5.892458e-007	29.02.2024 04:14:13.442 	0.460	9.502426e-009	29.02.2024 04:14:13.493 	0.510	2.484769e-009	29.02.2024 04:14:13.543 	0.560	3.280048e-008
29.02.2024 04:14:13.592 	0.610	5.971531e-007	29.02.2024 04:14:13.642 	0.660	9.974819e-009	29.02.2024 04:14:13.693 	0.710	2.802733e-009	29.02.2024 04:14:13.743 	0.760	3.628975e-008
29.02.2024 04:14:13.792 	0.810	6.123452e-007	29.02.2024 04:14:13.842 	0.860	1.052420e-008	29.02.2024 04:14:13.893 	0.910	2.989058e-009	29.02.2024 04:14:13.943 	0.960	3.795119e-008
29.02.2024 04:14:13.992 	1.010	6.268037e-007	29.02.2024 04:14:14.042 	1.060	1.095906e-008	29.02.2024 04:14:14.093 	1.110	3.059677e-009	29.02.2024 04:14:14.143 	1.160	3.909733e-008
29.02.2024 04:14:14.192 	1.210	6.369072e-007	29.02.2024 04:14:14.243 	1.261	1.129807e-008	29.02.2024 04:14:14.294 	1.311	3.176413e-009	29.02.2024 04:14:14.344 	1.361	4.043973e-008
29.02.2024 04:14:14.393 	1.411	6.440613e-007	29.02.2024 04:14:14.444 	1.461	1.152370e-008	29.02.2024 04:14:14.494 	1.511	3.263865e-009	29.02.2024 04:14:14.544 	1.561	4.144962e-008
29.02.2024 04:14:14.593 	1.611	6.486853e-007	29.02.2024 04:14:14.643 	1.661	1.167181e-008	29.02.2024 04:14:14.695 	1.712	3.332522e-009	29.02.2024 04:14:14.744 	1.762	4.221013e-008
29.02.2024 04:14:14.794 	1.812	6.521948e-007	29.02.2024 04:14:14.845 	1.862	1.180488e-008	29.02.2024 04:14:14.896 	1.913	3.377235e-009	29.02.2024 04:14:14.944 	1.962	4.280789e-008
29.02.2024 04:14:14.995 	2.013	6.562051e-007	29.02.2024 04:14:15.046 	2.063	1.190995e-008	29.02.2024 04:14:15.096 	2.114	3.425902e-009	29.02.2024 04:14:15.146 	2.164	4.337931e-008
29.02.2024 04:14:15.197 	2.214	6.595626e-007	29.02.2024 04:14:15.247 	2.264	1.201929e-008	29.02.2024 04:14:15.296 	2.314	3.462512e-009	29.02.2024 04:14:15.346 	2.364	4.382036e-008
29.02.2024 04:14:15.397 	2.414	6.627608e-007	29.02.2024 04:14:15.447 	2.464	1.211657e-008	29.02.2024 04:14:15.496 	2.514	3.492392e-009	29.02.2024 04:14:15.546 	2.564	4.421262e-008
29.02.2024 04:14:15.597 	2.614	6.655514e-007	29.02.2024 04:14:15.647 	2.664	1.216823e-008	29.02.2024 04:14:15.696 	2.714	3.521730e-009	29.02.2024 04:14:15.746 	2.764	4.455415e-008
29.02.2024 04:14:15.798 	2.815	6.679434e-007	29.02.2024 04:14:15.848 	2.865	1.222233e-008	29.02.2024 04:14:15.897 	2.915	3.553153e-009	29.02.2024 04:14:15.948 	2.965	4.487426e-008
29.02.2024 04:14:15.998 	3.015	6.706629e-007	29.02.2024 04:14:16.048 	3.065	1.206820e-008	29.02.2024 04:14:16.097 	3.115	3.585811e-009	29.02.2024 04:14:16.147 	3.165	4.537923e-008
29.02.2024 04:14:16.199 	3.216	6.741874e-007	29.02.2024 04:14:16.248 	3.266	1.173102e-008	29.02.2024 04:14:16.298 	3.316	3.622810e-009	29.02.2024 04:14:16.349 	3.366	4.577837e-008
29.02.2024 04:14:16.399 	3.416	6.776797e-007	29.02.2024 04:14:16.448 	3.466	1.137735e-008	29.02.2024 04:14:16.499 	3.517	3.652691e-009	29.02.2024 04:14:16.549 	3.566	4.609687e-008
29.02.2024 04:14:16.599 	3.616	6.804427e-007	29.02.2024 04:14:16.648 	3.666	1.123657e-008	29.02.2024 04:14:16.698 	3.716	3.658581e-009	29.02.2024 04:14:16.749 	3.766	4.613820e-008
29.02.2024 04:14:16.799 	3.816	6.822435e-007	29.02.2024 04:14:16.848 	3.866	1.125817e-008	29.02.2024 04:14:16.898 	3.916	3.641909e-009	29.02.2024 04:14:16.950 	3.967	4.580529e-008
29.02.2024 04:14:17.000 	4.017	6.834538e-007	29.02.2024 04:14:17.049 	4.067	1.140490e-008	29.02.2024 04:14:17.100 	4.117	3.595745e-009	29.02.2024 04:14:17.151 	4.168	4.525265e-008
29.02.2024 04:14:17.200 	4.218	6.837557e-007	29.02.2024 04:14:17.250 	4.268	1.153034e-008	29.02.2024 04:14:17.301 	4.318	3.553656e-009	29.02.2024 04:14:17.351 	4.368	4.486418e-008
29.02.2024 04:14:17.401 	4.419	6.839693e-007	29.02.2024 04:14:17.452 	4.469	1.163754e-008	29.02.2024 04:14:17.502 	4.519	3.539358e-009	29.02.2024 04:14:17.552 	4.569	4.473798e-008
29.02.2024 04:14:17.601 	4.619	6.832743e-007	29.02.2024 04:14:17.651 	4.669	1.178931e-008	29.02.2024 04:14:17.702 	4.719	3.547109e-009	29.02.2024 04:14:17.752 	4.769	4.484693e-008
29.02.2024 04:14:17.801 	4.819	6.824005e-007	29.02.2024 04:14:17.852 	4.869	1.188889e-008	29.02.2024 04:14:17.901 	4.918	3.551039e-009	29.02.2024 04:14:17.951 	4.968	4.501503e-008
29.02.2024 04:14:18.000 	5.018	6.816567e-007	29.02.2024 04:14:18.050 	5.068	1.199511e-008	29.02.2024 04:14:18.102 	5.119	3.580905e-009	29.02.2024 04:14:18.152 	5.169	4.514048e-008
29.02.2024 04:14:18.201 	5.219	6.809432e-007	29.02.2024 04:14:18.252 	5.269	1.207438e-008	29.02.2024 04:14:18.302 	5.319	3.583865e-009	29.02.2024 04:14:18.352 	5.369	4.531383e-008
29.02.2024 04:14:18.401 	5.419	6.803397e-007	29.02.2024 04:14:18.451 	5.469	1.214725e-008	29.02.2024 04:14:18.502 	5.519	3.588169e-009	29.02.2024 04:14:18.552 	5.569	4.543097e-008
29.02.2024 04:14:18.601 	5.619	6.804825e-007	29.02.2024 04:14:18.652 	5.669	1.220257e-008	29.02.2024 04:14:18.702 	5.719	3.605681e-009	29.02.2024 04:14:18.752 	5.769	4.555305e-008
29.02.2024 04:14:18.801 	5.819	6.805470e-007	29.02.2024 04:14:18.851 	5.869	1.228971e-008	29.02.2024 04:14:18.902 	5.919	3.617500e-009	29.02.2024 04:14:18.952 	5.969	4.567048e-008
29.02.2024 04:14:19.001 	6.019	6.804884e-007	29.02.2024 04:14:19.052 	6.069	1.230993e-008	29.02.2024 04:14:19.102 	6.119	3.630295e-009	29.02.2024 04:14:19.152 	6.170	4.585710e-008
29.02.2024 04:14:19.202 	6.220	6.806885e-007	29.02.2024 04:14:19.253 	6.270	1.232183e-008	29.02.2024 04:14:19.304 	6.321	3.642664e-009	29.02.2024 04:14:19.353 	6.371	4.592449e-008
29.02.2024 04:14:19.404 	6.421	6.805586e-007	29.02.2024 04:14:19.454 	6.471	1.237616e-008	29.02.2024 04:14:19.504 	6.521	3.639590e-009	29.02.2024 04:14:19.553 	6.571	4.598447e-008
29.02.2024 04:14:19.603 	6.621	6.806045e-007	29.02.2024 04:14:19.654 	6.671	1.241080e-008	29.02.2024 04:14:19.704 	6.722	3.642557e-009	29.02.2024 04:14:19.754 	6.772	4.606115e-008
29.02.2024 04:14:19.805 	6.822	6.811553e-007	29.02.2024 04:14:19.855 	6.872	1.244514e-008	29.02.2024 04:14:19.904 	6.922	3.650668e-009	29.02.2024 04:14:19.954 	6.972	4.615638e-008
29.02.2024 04:14:20.006 	7.023	6.811272e-007	29.02.2024 04:14:20.056 	7.074	1.247116e-008	29.02.2024 04:14:20.106 	7.124	3.661458e-009	29.02.2024 04:14:20.157 	7.174	4.617698e-008
29.02.2024 04:14:20.207 	7.224	6.809455e-007	29.02.2024 04:14:20.256 	7.274	1.248306e-008	29.02.2024 04:14:20.307 	7.325	3.661588e-009	29.02.2024 04:14:20.358 	7.375	4.621566e-008
29.02.2024 04:14:20.408 	7.425	6.811259e-007	29.02.2024 04:14:20.457 	7.475	1.249740e-008	29.02.2024 04:14:20.508 	7.525	3.668195e-009	29.02.2024 04:14:20.558 	7.575	4.625909e-008
29.02.2024 04:14:20.608 	7.625	6.812080e-007	29.02.2024 04:14:20.657 	7.675	1.253365e-008	29.02.2024 04:14:20.707 	7.725	3.663648e-009	29.02.2024 04:14:20.758 	7.775	4.631569e-008
29.02.2024 04:14:20.808 	7.825	6.813502e-007	29.02.2024 04:14:20.857 	7.875	1.252213e-008	29.02.2024 04:14:20.908 	7.925	3.673369e-009	29.02.2024 04:14:20.958 	7.975	4.632700e-008
29.02.2024 04:14:21.008 	8.025	6.815728e-007	29.02.2024 04:14:21.057 	8.075	1.254380e-008	29.02.2024 04:14:21.107 	8.125	3.679275e-009	29.02.2024 04:14:21.158 	8.175	4.634401e-008
29.02.2024 04:14:21.208 	8.225	6.820199e-007	29.02.2024 04:14:21.257 	8.275	1.253594e-008	29.02.2024 04:14:21.308 	8.325	3.678206e-009	29.02.2024 04:14:21.358 	8.375	4.644685e-008
29.02.2024 04:14:21.408 	8.425	6.821663e-007	29.02.2024 04:14:21.457 	8.475	1.255807e-008	29.02.2024 04:14:21.507 	8.525	3.681022e-009	29.02.2024 04:14:21.558 	8.575	4.645000e-008
