Sourcefile	20240229 171015 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 05:12:11.878 

Start Time	29.02.2024 05:10:48.690 
End Time	29.02.2024 05:11:34.008 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 05:10:48.689 	0.000	6.607068e-007	29.02.2024 05:10:48.739 	0.050	7.422934e-009	29.02.2024 05:10:48.790 	0.100	1.998108e-009	29.02.2024 05:10:48.840 	0.150	2.616081e-008
29.02.2024 05:10:48.890 	0.201	6.713815e-007	29.02.2024 05:10:48.941 	0.251	7.874958e-009	29.02.2024 05:10:48.990 	0.300	2.142885e-009	29.02.2024 05:10:49.040 	0.350	2.721127e-008
29.02.2024 05:10:49.089 	0.400	6.851856e-007	29.02.2024 05:10:49.139 	0.450	8.273871e-009	29.02.2024 05:10:49.191 	0.501	2.229116e-009	29.02.2024 05:10:49.240 	0.551	2.863165e-008
29.02.2024 05:10:49.290 	0.601	6.970882e-007	29.02.2024 05:10:49.341 	0.651	8.554360e-009	29.02.2024 05:10:49.391 	0.701	2.341930e-009	29.02.2024 05:10:49.440 	0.751	2.997026e-008
29.02.2024 05:10:49.490 	0.801	7.060479e-007	29.02.2024 05:10:49.541 	0.851	8.774647e-009	29.02.2024 05:10:49.591 	0.901	2.423238e-009	29.02.2024 05:10:49.640 	0.951	3.082438e-008
29.02.2024 05:10:49.690 	1.001	7.128390e-007	29.02.2024 05:10:49.742 	1.052	8.927939e-009	29.02.2024 05:10:49.792 	1.102	2.480390e-009	29.02.2024 05:10:49.841 	1.152	3.150988e-008
29.02.2024 05:10:49.891 	1.202	7.184052e-007	29.02.2024 05:10:49.942 	1.252	9.051932e-009	29.02.2024 05:10:49.992 	1.303	2.520397e-009	29.02.2024 05:10:50.042 	1.353	3.201660e-008
29.02.2024 05:10:50.093 	1.403	7.235220e-007	29.02.2024 05:10:50.143 	1.453	9.172417e-009	29.02.2024 05:10:50.192 	1.503	2.553916e-009	29.02.2024 05:10:50.242 	1.553	3.240316e-008
29.02.2024 05:10:50.293 	1.603	7.275469e-007	29.02.2024 05:10:50.343 	1.653	9.252686e-009	29.02.2024 05:10:50.392 	1.703	2.583201e-009	29.02.2024 05:10:50.442 	1.753	3.276042e-008
29.02.2024 05:10:50.493 	1.803	7.310659e-007	29.02.2024 05:10:50.543 	1.853	9.256042e-009	29.02.2024 05:10:50.592 	1.903	2.614035e-009	29.02.2024 05:10:50.642 	1.953	3.309266e-008
29.02.2024 05:10:50.693 	2.003	7.352795e-007	29.02.2024 05:10:50.744 	2.054	8.928930e-009	29.02.2024 05:10:50.793 	2.104	2.645907e-009	29.02.2024 05:10:50.844 	2.154	3.353480e-008
29.02.2024 05:10:50.893 	2.203	7.399830e-007	29.02.2024 05:10:50.944 	2.254	8.550237e-009	29.02.2024 05:10:50.992 	2.303	2.674704e-009	29.02.2024 05:10:51.042 	2.353	3.379555e-008
29.02.2024 05:10:51.093 	2.403	7.430131e-007	29.02.2024 05:10:51.144 	2.454	8.355205e-009	29.02.2024 05:10:51.193 	2.504	2.663672e-009	29.02.2024 05:10:51.244 	2.554	3.363195e-008
29.02.2024 05:10:51.295 	2.605	7.458352e-007	29.02.2024 05:10:51.344 	2.655	8.410145e-009	29.02.2024 05:10:51.394 	2.705	2.620292e-009	29.02.2024 05:10:51.445 	2.755	3.303442e-008
29.02.2024 05:10:51.495 	2.805	7.465649e-007	29.02.2024 05:10:51.544 	2.855	8.537954e-009	29.02.2024 05:10:51.594 	2.905	2.578944e-009	29.02.2024 05:10:51.646 	2.956	3.257486e-008
29.02.2024 05:10:51.696 	3.006	7.464016e-007	29.02.2024 05:10:51.745 	3.056	8.661182e-009	29.02.2024 05:10:51.795 	3.106	2.568521e-009	29.02.2024 05:10:51.846 	3.156	3.249039e-008
29.02.2024 05:10:51.896 	3.206	7.454660e-007	29.02.2024 05:10:51.945 	3.256	8.775029e-009	29.02.2024 05:10:51.996 	3.306	2.574075e-009	29.02.2024 05:10:52.046 	3.356	3.261522e-008
29.02.2024 05:10:52.096 	3.407	7.440512e-007	29.02.2024 05:10:52.146 	3.457	8.896505e-009	29.02.2024 05:10:52.197 	3.507	2.588061e-009	29.02.2024 05:10:52.247 	3.557	3.276194e-008
29.02.2024 05:10:52.296 	3.607	7.422797e-007	29.02.2024 05:10:52.346 	3.657	8.987454e-009	29.02.2024 05:10:52.397 	3.707	2.597081e-009	29.02.2024 05:10:52.447 	3.757	3.293600e-008
29.02.2024 05:10:52.496 	3.807	7.416447e-007	29.02.2024 05:10:52.546 	3.857	9.093213e-009	29.02.2024 05:10:52.598 	3.908	2.613478e-009	29.02.2024 05:10:52.647 	3.957	3.309356e-008
29.02.2024 05:10:52.696 	4.007	7.411923e-007	29.02.2024 05:10:52.748 	4.058	9.151279e-009	29.02.2024 05:10:52.798 	4.108	2.626679e-009	29.02.2024 05:10:52.848 	4.158	3.323160e-008
29.02.2024 05:10:52.897 	4.208	7.406747e-007	29.02.2024 05:10:52.947 	4.258	9.245822e-009	29.02.2024 05:10:52.998 	4.308	2.631387e-009	29.02.2024 05:10:53.048 	4.359	3.333376e-008
29.02.2024 05:10:53.098 	4.409	7.404308e-007	29.02.2024 05:10:53.150 	4.460	9.318614e-009	29.02.2024 05:10:53.200 	4.510	2.643679e-009	29.02.2024 05:10:53.249 	4.560	3.347012e-008
29.02.2024 05:10:53.299 	4.610	7.403651e-007	29.02.2024 05:10:53.350 	4.660	9.365920e-009	29.02.2024 05:10:53.400 	4.710	2.652736e-009	29.02.2024 05:10:53.449 	4.760	3.352795e-008
29.02.2024 05:10:53.500 	4.810	7.399312e-007	29.02.2024 05:10:53.550 	4.860	9.404149e-009	29.02.2024 05:10:53.600 	4.910	2.652751e-009	29.02.2024 05:10:53.650 	4.961	3.362912e-008
29.02.2024 05:10:53.699 	5.010	7.401601e-007	29.02.2024 05:10:53.751 	5.061	9.443982e-009	29.02.2024 05:10:53.800 	5.111	2.662305e-009	29.02.2024 05:10:53.850 	5.161	3.370474e-008
29.02.2024 05:10:53.901 	5.211	7.401280e-007	29.02.2024 05:10:53.951 	5.261	9.490067e-009	29.02.2024 05:10:54.000 	5.311	2.673155e-009	29.02.2024 05:10:54.050 	5.361	3.376244e-008
29.02.2024 05:10:54.102 	5.412	7.402953e-007	29.02.2024 05:10:54.152 	5.462	9.485564e-009	29.02.2024 05:10:54.201 	5.512	2.667989e-009	29.02.2024 05:10:54.252 	5.562	3.379762e-008
29.02.2024 05:10:54.302 	5.612	7.402803e-007	29.02.2024 05:10:54.352 	5.662	9.483121e-009	29.02.2024 05:10:54.401 	5.712	2.675588e-009	29.02.2024 05:10:54.451 	5.762	3.386949e-008
29.02.2024 05:10:54.502 	5.812	7.402822e-007	29.02.2024 05:10:54.552 	5.863	9.486480e-009	29.02.2024 05:10:54.602 	5.913	2.681922e-009	29.02.2024 05:10:54.654 	5.964	3.387933e-008
29.02.2024 05:10:54.704 	6.014	7.403073e-007	29.02.2024 05:10:54.753 	6.064	9.497772e-009	29.02.2024 05:10:54.803 	6.114	2.683319e-009	29.02.2024 05:10:54.854 	6.164	3.389696e-008
29.02.2024 05:10:54.903 	6.213	7.403569e-007	29.02.2024 05:10:54.953 	6.264	9.504025e-009	29.02.2024 05:10:55.004 	6.314	2.683739e-009	29.02.2024 05:10:55.054 	6.364	3.392992e-008
29.02.2024 05:10:55.104 	6.414	7.402768e-007	29.02.2024 05:10:55.153 	6.464	9.511887e-009	29.02.2024 05:10:55.203 	6.514	2.682571e-009	29.02.2024 05:10:55.254 	6.564	3.393465e-008
29.02.2024 05:10:55.304 	6.614	7.405241e-007	29.02.2024 05:10:55.354 	6.665	9.495483e-009	29.02.2024 05:10:55.405 	6.715	2.684135e-009	29.02.2024 05:10:55.456 	6.766	3.392809e-008
29.02.2024 05:10:55.505 	6.816	7.405614e-007	29.02.2024 05:10:55.555 	6.866	9.519749e-009	29.02.2024 05:10:55.606 	6.916	2.682105e-009	29.02.2024 05:10:55.656 	6.966	3.392602e-008
29.02.2024 05:10:55.706 	7.017	7.405123e-007	29.02.2024 05:10:55.757 	7.067	9.506546e-009	29.02.2024 05:10:55.807 	7.117	2.680153e-009	29.02.2024 05:10:55.856 	7.167	3.388269e-008
29.02.2024 05:10:55.906 	7.217	7.400706e-007	29.02.2024 05:10:55.957 	7.267	9.526156e-009	29.02.2024 05:10:56.007 	7.317	2.686753e-009	29.02.2024 05:10:56.056 	7.367	3.390017e-008
29.02.2024 05:10:56.108 	7.418	7.406366e-007	29.02.2024 05:10:56.158 	7.468	9.484338e-009	29.02.2024 05:10:56.208 	7.518	2.681259e-009	29.02.2024 05:10:56.257 	7.568	3.393879e-008
29.02.2024 05:10:56.307 	7.618	7.402966e-007	29.02.2024 05:10:56.358 	7.668	9.499600e-009	29.02.2024 05:10:56.408 	7.718	2.680877e-009	29.02.2024 05:10:56.457 	7.768	3.393098e-008
29.02.2024 05:10:56.508 	7.818	7.401629e-007	29.02.2024 05:10:56.558 	7.868	9.492663e-009	29.02.2024 05:10:56.608 	7.918	2.686386e-009	29.02.2024 05:10:56.657 	7.968	3.396014e-008
29.02.2024 05:10:56.709 	8.019	7.402064e-007	29.02.2024 05:10:56.758 	8.068	9.512724e-009	29.02.2024 05:10:56.808 	8.119	2.680579e-009	29.02.2024 05:10:56.858 	8.169	3.389649e-008
29.02.2024 05:10:56.909 	8.219	7.400882e-007	29.02.2024 05:10:56.959 	8.269	9.495713e-009	29.02.2024 05:10:57.008 	8.319	2.683731e-009	29.02.2024 05:10:57.058 	8.369	3.395023e-008
