Sourcefile	20240228 112335 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 11:25:42.893 

Start Time	28.02.2024 11:24:18.720 
End Time	28.02.2024 11:24:59.472 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 11:24:18.720 	0.000	6.508226e-007	28.02.2024 11:24:18.769 	0.050	1.770717e-008	28.02.2024 11:24:18.819 	0.100	2.233000e-009	28.02.2024 11:24:18.870 	0.150	2.778164e-008
28.02.2024 11:24:18.920 	0.201	6.636369e-007	28.02.2024 11:24:18.970 	0.251	1.810852e-008	28.02.2024 11:24:19.021 	0.301	2.385637e-009	28.02.2024 11:24:19.071 	0.351	2.937226e-008
28.02.2024 11:24:19.120 	0.401	6.757149e-007	28.02.2024 11:24:19.170 	0.451	1.848514e-008	28.02.2024 11:24:19.221 	0.501	2.483702e-009	28.02.2024 11:24:19.272 	0.552	3.050170e-008
28.02.2024 11:24:19.321 	0.602	6.855068e-007	28.02.2024 11:24:19.370 	0.651	1.877542e-008	28.02.2024 11:24:19.421 	0.701	2.553908e-009	28.02.2024 11:24:19.471 	0.751	3.122221e-008
28.02.2024 11:24:19.520 	0.801	6.925874e-007	28.02.2024 11:24:19.570 	0.851	1.895953e-008	28.02.2024 11:24:19.621 	0.901	2.596715e-009	28.02.2024 11:24:19.671 	0.951	3.172331e-008
28.02.2024 11:24:19.720 	1.001	6.968328e-007	28.02.2024 11:24:19.770 	1.051	1.906803e-008	28.02.2024 11:24:19.821 	1.101	2.626602e-009	28.02.2024 11:24:19.871 	1.151	3.206004e-008
28.02.2024 11:24:19.920 	1.201	7.002854e-007	28.02.2024 11:24:19.970 	1.251	1.915564e-008	28.02.2024 11:24:20.021 	1.301	2.653668e-009	28.02.2024 11:24:20.071 	1.351	3.229781e-008
28.02.2024 11:24:20.120 	1.401	7.021754e-007	28.02.2024 11:24:20.170 	1.451	1.921752e-008	28.02.2024 11:24:20.221 	1.501	2.659420e-009	28.02.2024 11:24:20.271 	1.551	3.239218e-008
28.02.2024 11:24:20.321 	1.602	7.034985e-007	28.02.2024 11:24:20.370 	1.651	1.926451e-008	28.02.2024 11:24:20.421 	1.701	2.668706e-009	28.02.2024 11:24:20.471 	1.751	3.255128e-008
28.02.2024 11:24:20.520 	1.801	7.043204e-007	28.02.2024 11:24:20.570 	1.851	1.927001e-008	28.02.2024 11:24:20.622 	1.902	2.672872e-009	28.02.2024 11:24:20.672 	1.952	3.259210e-008
28.02.2024 11:24:20.721 	2.002	7.048881e-007	28.02.2024 11:24:20.771 	2.052	1.929359e-008	28.02.2024 11:24:20.822 	2.102	2.679931e-009	28.02.2024 11:24:20.872 	2.153	3.266909e-008
28.02.2024 11:24:20.922 	2.203	7.051399e-007	28.02.2024 11:24:20.973 	2.253	1.931449e-008	28.02.2024 11:24:21.024 	2.304	2.686669e-009	28.02.2024 11:24:21.072 	2.353	3.270755e-008
28.02.2024 11:24:21.123 	2.404	7.054946e-007	28.02.2024 11:24:21.174 	2.454	1.931144e-008	28.02.2024 11:24:21.224 	2.504	2.688629e-009	28.02.2024 11:24:21.273 	2.554	3.276133e-008
28.02.2024 11:24:21.325 	2.605	7.056875e-007	28.02.2024 11:24:21.375 	2.655	1.931464e-008	28.02.2024 11:24:21.424 	2.704	2.696351e-009	28.02.2024 11:24:21.473 	2.754	3.280070e-008
28.02.2024 11:24:21.523 	2.804	7.058226e-007	28.02.2024 11:24:21.575 	2.855	1.931884e-008	28.02.2024 11:24:21.624 	2.905	2.694680e-009	28.02.2024 11:24:21.674 	2.955	3.284382e-008
28.02.2024 11:24:21.725 	3.005	7.059813e-007	28.02.2024 11:24:21.775 	3.055	1.933181e-008	28.02.2024 11:24:21.824 	3.105	2.695046e-009	28.02.2024 11:24:21.874 	3.155	3.282307e-008
28.02.2024 11:24:21.925 	3.205	7.055756e-007	28.02.2024 11:24:21.975 	3.255	1.931396e-008	28.02.2024 11:24:22.024 	3.305	2.691934e-009	28.02.2024 11:24:22.074 	3.355	3.284886e-008
28.02.2024 11:24:22.125 	3.405	7.056007e-007	28.02.2024 11:24:22.175 	3.455	1.933372e-008	28.02.2024 11:24:22.224 	3.505	2.697053e-009	28.02.2024 11:24:22.274 	3.555	3.285167e-008
28.02.2024 11:24:22.325 	3.605	7.056718e-007	28.02.2024 11:24:22.375 	3.655	1.930816e-008	28.02.2024 11:24:22.425 	3.706	2.701419e-009	28.02.2024 11:24:22.476 	3.756	3.283154e-008
28.02.2024 11:24:22.526 	3.806	7.054185e-007	28.02.2024 11:24:22.576 	3.856	1.930175e-008	28.02.2024 11:24:22.625 	3.906	2.697794e-009	28.02.2024 11:24:22.675 	3.956	3.285114e-008
28.02.2024 11:24:22.727 	4.007	7.055410e-007	28.02.2024 11:24:22.776 	4.057	1.930411e-008	28.02.2024 11:24:22.826 	4.107	2.697503e-009	28.02.2024 11:24:22.877 	4.157	3.288434e-008
28.02.2024 11:24:22.927 	4.207	7.054397e-007	28.02.2024 11:24:22.977 	4.258	1.931571e-008	28.02.2024 11:24:23.027 	4.308	2.698839e-009	28.02.2024 11:24:23.078 	4.358	3.286518e-008
28.02.2024 11:24:23.128 	4.408	7.049513e-007	28.02.2024 11:24:23.177 	4.458	1.930465e-008	28.02.2024 11:24:23.228 	4.508	2.699075e-009	28.02.2024 11:24:23.278 	4.558	3.284635e-008
28.02.2024 11:24:23.328 	4.609	7.050695e-007	28.02.2024 11:24:23.378 	4.659	1.929518e-008	28.02.2024 11:24:23.430 	4.710	2.699701e-009	28.02.2024 11:24:23.480 	4.760	3.284749e-008
28.02.2024 11:24:23.529 	4.810	7.053924e-007	28.02.2024 11:24:23.580 	4.860	1.931785e-008	28.02.2024 11:24:23.630 	4.910	2.703248e-009	28.02.2024 11:24:23.680 	4.960	3.288289e-008
28.02.2024 11:24:23.728 	5.009	7.052337e-007	28.02.2024 11:24:23.778 	5.059	1.930725e-008	28.02.2024 11:24:23.829 	5.109	2.695015e-009	28.02.2024 11:24:23.879 	5.159	3.284802e-008
28.02.2024 11:24:23.928 	5.209	7.052213e-007	28.02.2024 11:24:23.980 	5.260	1.930191e-008	28.02.2024 11:24:24.029 	5.309	2.696413e-009	28.02.2024 11:24:24.079 	5.359	3.288426e-008
28.02.2024 11:24:24.128 	5.409	7.049979e-007	28.02.2024 11:24:24.178 	5.459	1.931518e-008	28.02.2024 11:24:24.229 	5.509	2.703524e-009	28.02.2024 11:24:24.280 	5.560	3.287061e-008
28.02.2024 11:24:24.329 	5.610	7.047743e-007	28.02.2024 11:24:24.380 	5.660	1.929481e-008	28.02.2024 11:24:24.430 	5.710	2.710002e-009	28.02.2024 11:24:24.480 	5.760	3.289823e-008
28.02.2024 11:24:24.529 	5.810	7.051107e-007	28.02.2024 11:24:24.579 	5.860	1.929785e-008	28.02.2024 11:24:24.630 	5.910	2.706439e-009	28.02.2024 11:24:24.680 	5.961	3.293713e-008
28.02.2024 11:24:24.730 	6.011	7.052063e-007	28.02.2024 11:24:24.780 	6.060	1.930068e-008	28.02.2024 11:24:24.830 	6.110	2.707941e-009	28.02.2024 11:24:24.880 	6.161	3.294127e-008
28.02.2024 11:24:24.930 	6.211	7.051858e-007	28.02.2024 11:24:24.981 	6.261	1.929556e-008	28.02.2024 11:24:25.031 	6.311	2.704813e-009	28.02.2024 11:24:25.080 	6.361	3.294073e-008
28.02.2024 11:24:25.130 	6.411	7.054635e-007	28.02.2024 11:24:25.182 	6.462	1.931152e-008	28.02.2024 11:24:25.232 	6.512	2.698953e-009	28.02.2024 11:24:25.281 	6.562	3.292746e-008
28.02.2024 11:24:25.331 	6.612	7.050682e-007	28.02.2024 11:24:25.382 	6.662	1.929144e-008	28.02.2024 11:24:25.432 	6.713	2.702067e-009	28.02.2024 11:24:25.482 	6.763	3.293059e-008
28.02.2024 11:24:25.533 	6.813	7.045684e-007	28.02.2024 11:24:25.583 	6.863	1.929222e-008	28.02.2024 11:24:25.632 	6.913	2.705294e-009	28.02.2024 11:24:25.682 	6.963	3.291203e-008
28.02.2024 11:24:25.733 	7.013	7.049291e-007	28.02.2024 11:24:25.783 	7.063	1.929901e-008	28.02.2024 11:24:25.832 	7.113	2.706346e-009	28.02.2024 11:24:25.882 	7.163	3.291699e-008
28.02.2024 11:24:25.933 	7.213	7.049362e-007	28.02.2024 11:24:25.983 	7.263	1.931891e-008	28.02.2024 11:24:26.032 	7.313	2.701875e-009	28.02.2024 11:24:26.082 	7.363	3.292049e-008
28.02.2024 11:24:26.133 	7.413	7.049965e-007	28.02.2024 11:24:26.184 	7.464	1.931297e-008	28.02.2024 11:24:26.233 	7.514	2.704050e-009	28.02.2024 11:24:26.284 	7.564	3.292004e-008
28.02.2024 11:24:26.334 	7.614	7.047422e-007	28.02.2024 11:24:26.384 	7.664	1.930969e-008	28.02.2024 11:24:26.433 	7.714	2.702165e-009	28.02.2024 11:24:26.483 	7.764	3.290853e-008
28.02.2024 11:24:26.534 	7.814	7.047458e-007	28.02.2024 11:24:26.584 	7.865	1.930915e-008	28.02.2024 11:24:26.634 	7.915	2.700517e-009	28.02.2024 11:24:26.685 	7.965	3.289722e-008
28.02.2024 11:24:26.735 	8.015	7.041440e-007	28.02.2024 11:24:26.784 	8.065	1.928344e-008	28.02.2024 11:24:26.834 	8.115	2.705759e-009	28.02.2024 11:24:26.885 	8.165	3.292433e-008
28.02.2024 11:24:26.935 	8.215	7.044839e-007	28.02.2024 11:24:26.984 	8.265	1.931503e-008	28.02.2024 11:24:27.034 	8.315	2.700679e-009	28.02.2024 11:24:27.085 	8.365	3.291943e-008
28.02.2024 11:24:27.135 	8.415	7.046273e-007	28.02.2024 11:24:27.184 	8.465	1.928596e-008	28.02.2024 11:24:27.234 	8.515	2.705249e-009	28.02.2024 11:24:27.286 	8.566	3.290998e-008
28.02.2024 11:24:27.336 	8.616	7.044879e-007	28.02.2024 11:24:27.385 	8.666	1.930083e-008	28.02.2024 11:24:27.436 	8.716	2.697496e-009	28.02.2024 11:24:27.486 	8.766	3.291440e-008
28.02.2024 11:24:27.536 	8.816	7.046646e-007	28.02.2024 11:24:27.586 	8.867	1.930259e-008	28.02.2024 11:24:27.637 	8.917	2.703761e-009	28.02.2024 11:24:27.687 	8.967	3.291737e-008
28.02.2024 11:24:27.736 	9.017	7.048309e-007	28.02.2024 11:24:27.788 	9.068	1.930053e-008	28.02.2024 11:24:27.837 	9.117	2.706736e-009	28.02.2024 11:24:27.887 	9.167	3.290113e-008
