Sourcefile	20240228 120921 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 12:10:32.088 

Start Time	28.02.2024 12:09:34.195 
End Time	28.02.2024 12:10:15.122 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 12:09:34.194 	0.000	6.211025e-007	28.02.2024 12:09:34.245 	0.050	1.725827e-008	28.02.2024 12:09:34.295 	0.100	2.435768e-009	28.02.2024 12:09:34.344 	0.150	2.432960e-008
28.02.2024 12:09:34.396 	0.201	6.562394e-007	28.02.2024 12:09:34.446 	0.251	1.879547e-008	28.02.2024 12:09:34.496 	0.301	8.352078e-010	28.02.2024 12:09:34.545 	0.351	7.940730e-009
28.02.2024 12:09:34.595 	0.401	6.580623e-007	28.02.2024 12:09:34.646 	0.451	1.913228e-008	28.02.2024 12:09:34.700 	0.505	3.093349e-010	28.02.2024 12:09:34.749 	0.554	3.208956e-009
28.02.2024 12:09:34.799 	0.604	6.583284e-007	28.02.2024 12:09:34.849 	0.655	1.899066e-008	28.02.2024 12:09:34.899 	0.705	1.419249e-010	28.02.2024 12:09:34.950 	0.755	1.543988e-009
28.02.2024 12:09:35.000 	0.805	6.500609e-007	28.02.2024 12:09:35.049 	0.855	1.856031e-008	28.02.2024 12:09:35.100 	0.905	7.629184e-011	28.02.2024 12:09:35.151 	0.956	8.695061e-010
28.02.2024 12:09:35.200 	1.006	6.378258e-007	28.02.2024 12:09:35.250 	1.056	1.810677e-008	28.02.2024 12:09:35.301 	1.106	4.790990e-011	28.02.2024 12:09:35.353 	1.159	5.443858e-010
28.02.2024 12:09:35.404 	1.209	6.268771e-007	28.02.2024 12:09:35.454 	1.259	1.774013e-008	28.02.2024 12:09:35.504 	1.310	3.388872e-011	28.02.2024 12:09:35.553 	1.359	4.054938e-010
28.02.2024 12:09:35.603 	1.409	6.192118e-007	28.02.2024 12:09:35.655 	1.460	1.752030e-008	28.02.2024 12:09:35.704 	1.510	2.625634e-011	28.02.2024 12:09:35.754 	1.560	3.273075e-010
28.02.2024 12:09:35.805 	1.610	6.144189e-007	28.02.2024 12:09:35.855 	1.660	1.738654e-008	28.02.2024 12:09:35.904 	1.710	2.173728e-011	28.02.2024 12:09:35.954 	1.760	2.773623e-010
28.02.2024 12:09:36.005 	1.810	6.116064e-007	28.02.2024 12:09:36.056 	1.861	1.731550e-008	28.02.2024 12:09:36.105 	1.911	1.825968e-011	28.02.2024 12:09:36.154 	1.960	2.391977e-010
28.02.2024 12:09:36.205 	2.010	6.102520e-007	28.02.2024 12:09:36.255 	2.060	1.727170e-008	28.02.2024 12:09:36.304 	2.110	1.475308e-011	28.02.2024 12:09:36.354 	2.160	2.105138e-010
28.02.2024 12:09:36.406 	2.211	6.095005e-007	28.02.2024 12:09:36.456 	2.261	1.727215e-008	28.02.2024 12:09:36.505 	2.311	1.450395e-011	28.02.2024 12:09:36.556 	2.361	1.860327e-010
28.02.2024 12:09:36.606 	2.411	6.087251e-007	28.02.2024 12:09:36.655 	2.460	1.726948e-008	28.02.2024 12:09:36.704 	2.510	1.254906e-011	28.02.2024 12:09:36.754 	2.560	1.661091e-010
28.02.2024 12:09:36.805 	2.610	6.089130e-007	28.02.2024 12:09:36.855 	2.660	1.726201e-008	28.02.2024 12:09:36.905 	2.711	8.190345e-012	28.02.2024 12:09:36.956 	2.761	1.509332e-010
28.02.2024 12:09:37.006 	2.811	6.089786e-007	28.02.2024 12:09:37.056 	2.861	1.724668e-008	28.02.2024 12:09:37.105 	2.911	1.035832e-011	28.02.2024 12:09:37.155 	2.961	1.346203e-010
28.02.2024 12:09:37.206 	3.011	6.089259e-007	28.02.2024 12:09:37.256 	3.062	1.725575e-008	28.02.2024 12:09:37.306 	3.112	8.100620e-012	28.02.2024 12:09:37.357 	3.162	1.236532e-010
