"epoch","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MAX"
"3049","60","60","60","0.000021036748876213096","0.000021036748876213096","0.000021036748876213096","60","60","60","7.124301504290997e-8","7.124301504290997e-8","7.124301504290997e-8"
"3149","62","62","62","0.00002048732312687207","0.00002048732312687207","0.00002048732312687207","62","62","62","6.535157837106453e-8","6.535157837106453e-8","6.535157837106453e-8"
"3199","63","63","63","0.000020223931642249227","0.000020223931642249227","0.000020223931642249227","63","63","63","6.279979913870193e-8","6.279979913870193e-8","6.279979913870193e-8"
"3299","","","","","","","65","65","65","5.8131071511979826e-8","5.8131071511979826e-8","5.8131071511979826e-8"
"3349","","","","","","","66","66","66","5.596358221282571e-8","5.596358221282571e-8","5.596358221282571e-8"
"3399","67","67","67","0.000019265808077761903","0.000019265808077761903","0.000019265808077761903","67","67","67","5.389356516616317e-8","5.389356516616317e-8","5.389356516616317e-8"
"3449","68","68","68","0.000019035456716665067","0.000019035456716665067","0.000019035456716665067","","","","","",""
"3499","","","","","","","69","69","69","5.003310832307761e-8","5.003310832307761e-8","5.003310832307761e-8"
"3549","","","","","","","70","70","70","4.819799670485736e-8","4.819799670485736e-8","4.819799670485736e-8"
"3599","71","71","71","0.00002172726635762956","0.00002172726635762956","0.00002172726635762956","71","71","71","4.8568207233756766e-8","4.8568207233756766e-8","4.8568207233756766e-8"
"3699","73","73","73","0.000017984015357797034","0.000017984015357797034","0.000017984015357797034","73","73","73","4.52144277574007e-8","4.52144277574007e-8","4.52144277574007e-8"
"3799","75","75","75","0.000018344442651141435","0.000018344442651141435","0.000018344442651141435","","","","","",""
"3849","76","76","76","0.00008101863204501569","0.00008101863204501569","0.00008101863204501569","","","","","",""
"3999","79","79","79","0.000017100164768635295","0.000017100164768635295","0.000017100164768635295","79","79","79","5.755791789852083e-7","5.755791789852083e-7","5.755791789852083e-7"
"4049","80","80","80","0.00001700999928289093","0.00001700999928289093","0.00001700999928289093","80","80","80","3.516760571642408e-8","3.516760571642408e-8","3.516760571642408e-8"
"4099","","","","","","","81","81","81","3.378309187951345e-8","3.378309187951345e-8","3.378309187951345e-8"
"4199","83","83","83","0.000016732299627619796","0.000016732299627619796","0.000016732299627619796","","","","","",""
"4299","85","85","85","0.000016541083823540248","0.000016541083823540248","0.000016541083823540248","85","85","85","3.138224968779468e-8","3.138224968779468e-8","3.138224968779468e-8"
"4349","","","","","","","86","86","86","3.081278521221975e-8","3.081278521221975e-8","3.081278521221975e-8"
"4399","","","","","","","87","87","87","3.025004247092511e-8","3.025004247092511e-8","3.025004247092511e-8"
"4449","88","88","88","0.000016245059669017792","0.000016245059669017792","0.000016245059669017792","","","","","",""
"4499","89","89","89","0.00001614404027350247","0.00001614404027350247","0.00001614404027350247","89","89","89","2.914960539612821e-8","2.914960539612821e-8","2.914960539612821e-8"
"4549","90","90","90","0.000016041874914662912","0.000016041874914662912","0.000016041874914662912","","","","","",""
"4599","91","91","91","0.00001593850538483821","0.00001593850538483821","0.00001593850538483821","91","91","91","2.807747812028083e-8","2.807747812028083e-8","2.807747812028083e-8"
"4649","92","92","92","0.000015833986253710464","0.000015833986253710464","0.000015833986253710464","92","92","92","2.7552777837058784e-8","2.7552777837058784e-8","2.7552777837058784e-8"
"4699","","","","","","","93","93","93","2.703453283459112e-8","2.703453283459112e-8","2.703453283459112e-8"
"4749","","","","","","","94","94","94","2.6526652874281353e-8","2.6526652874281353e-8","2.6526652874281353e-8"
"4849","","","","","","","96","96","96","2.5527439717620837e-8","2.5527439717620837e-8","2.5527439717620837e-8"
"4899","97","97","97","0.000015295168850570917","0.000015295168850570917","0.000015295168850570917","97","97","97","2.503956153532272e-8","2.503956153532272e-8","2.503956153532272e-8"
"4949","","","","","","","98","98","98","2.4559909661547863e-8","2.4559909661547863e-8","2.4559909661547863e-8"
"4999","99","99","99","0.00001507241449871799","0.00001507241449871799","0.00001507241449871799","","","","","",""
"5099","","","","","","","101","101","101","2.3213564404045428e-8","2.3213564404045428e-8","2.3213564404045428e-8"
"5199","","","","","","","103","103","103","2.3540970062185806e-8","2.3540970062185806e-8","2.3540970062185806e-8"
"5249","104","104","104","0.000014498572454613168","0.000014498572454613168","0.000014498572454613168","104","104","104","7.510747082051239e-7","7.510747082051239e-7","7.510747082051239e-7"
"5299","105","105","105","0.00001438112940377323","0.00001438112940377323","0.00001438112940377323","105","105","105","1.0924094340225565e-7","1.0924094340225565e-7","1.0924094340225565e-7"
"5349","","","","","","","106","106","106","2.12289883450012e-8","2.12289883450012e-8","2.12289883450012e-8"
"5399","107","107","107","0.000014143785847409163","0.000014143785847409163","0.000014143785847409163","","","","","",""
"5449","108","108","108","0.000014024005395185668","0.000014024005395185668","0.000014024005395185668","108","108","108","2.0749297391375876e-8","2.0749297391375876e-8","2.0749297391375876e-8"
"5599","111","111","111","0.000013715583918383345","0.000013715583918383345","0.000013715583918383345","111","111","111","2.010457933465659e-8","2.010457933465659e-8","2.010457933465659e-8"
"5649","112","112","112","0.000013596058124676347","0.000013596058124676347","0.000013596058124676347","112","112","112","1.9889718316790095e-8","1.9889718316790095e-8","1.9889718316790095e-8"
"5749","114","114","114","0.000013386217688093893","0.000013386217688093893","0.000013386217688093893","114","114","114","1.9457706557091115e-8","1.9457706557091115e-8","1.9457706557091115e-8"
"5849","116","116","116","0.0004832810373045504","0.0004832810373045504","0.0004832810373045504","","","","","",""
"5899","117","117","117","0.000013125140867487062","0.000013125140867487062","0.000013125140867487062","117","117","117","1.8808888668786494e-8","1.8808888668786494e-8","1.8808888668786494e-8"
"5999","119","119","119","0.000012894393876194954","0.000012894393876194954","0.000012894393876194954","","","","","",""
"6049","","","","","","","120","120","120","1.815978301067389e-8","1.815978301067389e-8","1.815978301067389e-8"
"6099","121","121","121","0.000012704099390248302","0.000012704099390248302","0.000012704099390248302","121","121","121","1.7944088881449716e-8","1.7944088881449716e-8","1.7944088881449716e-8"
"6149","","","","","","","122","122","122","1.7727021628388684e-8","1.7727021628388684e-8","1.7727021628388684e-8"
"6199","123","123","123","0.000014120349078439176","0.000014120349078439176","0.000014120349078439176","123","123","123","1.7512885364112663e-8","1.7512885364112663e-8","1.7512885364112663e-8"
"6249","","","","","","","124","124","124","1.729987708642966e-8","1.729987708642966e-8","1.729987708642966e-8"
"6299","","","","","","","125","125","125","1.708167651770509e-8","1.708167651770509e-8","1.708167651770509e-8"
"6349","126","126","126","0.000012266865269339178","0.000012266865269339178","0.000012266865269339178","","","","","",""
"6449","","","","","","","128","128","128","1.6455055984465616e-8","1.6455055984465616e-8","1.6455055984465616e-8"
"6499","","","","","","","129","129","129","1.632641399851309e-8","1.632641399851309e-8","1.632641399851309e-8"
"6549","130","130","130","0.000011992994586762507","0.000011992994586762507","0.000011992994586762507","","","","","",""
"6599","131","131","131","0.000011952848581131548","0.000011952848581131548","0.000011952848581131548","","","","","",""
"6749","134","134","134","0.000011829744835267775","0.000011829744835267775","0.000011829744835267775","","","","","",""
"6799","135","135","135","0.000011787368748628069","0.000011787368748628069","0.000011787368748628069","135","135","135","1.5192068048008878e-8","1.5192068048008878e-8","1.5192068048008878e-8"
"6849","","","","","","","136","136","136","1.5069286263269532e-8","1.5069286263269532e-8","1.5069286263269532e-8"
"6899","137","137","137","0.000011700307368300855","0.000011700307368300855","0.000011700307368300855","","","","","",""
"6949","138","138","138","0.000011655613889161032","0.000011655613889161032","0.000011655613889161032","","","","","",""
"7049","140","140","140","0.000011564166015887167","0.000011564166015887167","0.000011564166015887167","140","140","140","1.4619250698899577e-8","1.4619250698899577e-8","1.4619250698899577e-8"
"7099","141","141","141","0.000011517305210873019","0.000011517305210873019","0.000011517305210873019","141","141","141","1.4506566614613803e-8","1.4506566614613803e-8","1.4506566614613803e-8"
