Sourcefile	20240229 155314 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 03:54:37.530 

Start Time	29.02.2024 03:53:31.049 
End Time	29.02.2024 03:54:17.617 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 03:53:31.048 	0.000	6.572283e-007	29.02.2024 03:53:31.098 	0.050	2.067727e-008	29.02.2024 03:53:31.149 	0.100	6.475942e-009	29.02.2024 03:53:31.199 	0.150	8.229077e-008
29.02.2024 03:53:31.248 	0.200	6.567468e-007	29.02.2024 03:53:31.298 	0.250	2.066323e-008	29.02.2024 03:53:31.349 	0.300	6.489394e-009	29.02.2024 03:53:31.399 	0.350	8.233730e-008
29.02.2024 03:53:31.448 	0.400	6.574076e-007	29.02.2024 03:53:31.498 	0.450	2.070512e-008	29.02.2024 03:53:31.549 	0.500	6.487576e-009	29.02.2024 03:53:31.599 	0.550	8.241974e-008
29.02.2024 03:53:31.648 	0.600	6.578327e-007	29.02.2024 03:53:31.698 	0.650	2.072756e-008	29.02.2024 03:53:31.749 	0.700	6.499772e-009	29.02.2024 03:53:31.799 	0.750	8.246555e-008
29.02.2024 03:53:31.848 	0.800	6.582119e-007	29.02.2024 03:53:31.898 	0.850	2.071908e-008	29.02.2024 03:53:31.949 	0.900	6.509256e-009	29.02.2024 03:53:32.000 	0.951	8.272265e-008
29.02.2024 03:53:32.049 	1.001	6.612089e-007	29.02.2024 03:53:32.099 	1.051	2.089214e-008	29.02.2024 03:53:32.150 	1.101	6.626344e-009	29.02.2024 03:53:32.200 	1.151	8.472713e-008
29.02.2024 03:53:32.249 	1.201	6.780988e-007	29.02.2024 03:53:32.300 	1.251	2.170561e-008	29.02.2024 03:53:32.350 	1.301	7.023012e-009	29.02.2024 03:53:32.400 	1.351	8.697963e-008
29.02.2024 03:53:32.449 	1.401	7.476196e-007	29.02.2024 03:53:32.499 	1.451	2.374863e-008	29.02.2024 03:53:32.550 	1.501	3.368354e-009	29.02.2024 03:53:32.600 	1.551	3.296087e-008
29.02.2024 03:53:32.649 	1.601	7.818361e-007	29.02.2024 03:53:32.700 	1.651	2.331248e-008	29.02.2024 03:53:32.751 	1.702	1.336521e-009	29.02.2024 03:53:32.800 	1.752	1.394305e-008
29.02.2024 03:53:32.851 	1.803	7.851377e-007	29.02.2024 03:53:32.902 	1.853	2.310829e-008	29.02.2024 03:53:32.956 	1.907	6.117835e-010	29.02.2024 03:53:33.006 	1.957	7.003800e-009
29.02.2024 03:53:33.056 	2.007	7.762277e-007	29.02.2024 03:53:33.105 	2.057	2.252564e-008	29.02.2024 03:53:33.155 	2.107	3.498856e-010	29.02.2024 03:53:33.206 	2.157	4.229551e-009
29.02.2024 03:53:33.256 	2.208	7.562356e-007	29.02.2024 03:53:33.306 	2.258	2.171087e-008	29.02.2024 03:53:33.357 	2.308	2.318352e-010	29.02.2024 03:53:33.407 	2.358	2.931800e-009
29.02.2024 03:53:33.456 	2.408	7.337640e-007	29.02.2024 03:53:33.506 	2.458	2.099782e-008	29.02.2024 03:53:33.557 	2.508	1.740493e-010	29.02.2024 03:53:33.607 	2.558	2.278850e-009
29.02.2024 03:53:33.656 	2.608	7.161311e-007	29.02.2024 03:53:33.706 	2.658	2.053687e-008	29.02.2024 03:53:33.757 	2.708	1.420141e-010	29.02.2024 03:53:33.807 	2.758	1.891787e-009
29.02.2024 03:53:33.856 	2.808	7.042660e-007	29.02.2024 03:53:33.906 	2.858	2.028163e-008	29.02.2024 03:53:33.957 	2.908	1.218342e-010	29.02.2024 03:53:34.007 	2.958	1.644213e-009
29.02.2024 03:53:34.056 	3.008	6.968426e-007	29.02.2024 03:53:34.106 	3.058	2.015267e-008	29.02.2024 03:53:34.157 	3.108	1.077303e-010	29.02.2024 03:53:34.207 	3.158	1.459048e-009
29.02.2024 03:53:34.256 	3.208	6.923926e-007	29.02.2024 03:53:34.307 	3.259	2.008889e-008	29.02.2024 03:53:34.358 	3.309	9.658771e-011	29.02.2024 03:53:34.408 	3.359	1.314125e-009
29.02.2024 03:53:34.457 	3.409	6.896747e-007	29.02.2024 03:53:34.508 	3.459	2.008867e-008	29.02.2024 03:53:34.558 	3.509	8.792732e-011	29.02.2024 03:53:34.608 	3.560	1.200052e-009
29.02.2024 03:53:34.658 	3.610	6.886217e-007	29.02.2024 03:53:34.707 	3.659	2.006119e-008	29.02.2024 03:53:34.759 	3.710	7.993908e-011	29.02.2024 03:53:34.808 	3.759	1.101392e-009
29.02.2024 03:53:34.858 	3.810	6.875238e-007	29.02.2024 03:53:34.909 	3.860	2.004540e-008	29.02.2024 03:53:34.959 	3.910	7.367458e-011	29.02.2024 03:53:35.008 	3.960	1.018893e-009
