Sourcefile	20240229 155135 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 03:52:55.042 

Start Time	29.02.2024 03:51:50.515 
End Time	29.02.2024 03:52:36.772 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 03:51:50.514 	0.000	6.668724e-007	29.02.2024 03:51:50.565 	0.050	1.939995e-008	29.02.2024 03:51:50.615 	0.100	1.137033e-011	29.02.2024 03:51:50.664 	0.150	1.362860e-010
29.02.2024 03:51:50.714 	0.200	6.669407e-007	29.02.2024 03:51:50.765 	0.250	1.940019e-008	29.02.2024 03:51:50.816 	0.301	8.491681e-012	29.02.2024 03:51:50.865 	0.351	1.324693e-010
29.02.2024 03:51:50.915 	0.401	6.672017e-007	29.02.2024 03:51:50.966 	0.451	1.941979e-008	29.02.2024 03:51:51.016 	0.502	1.357778e-011	29.02.2024 03:51:51.066 	0.552	1.494911e-010
29.02.2024 03:51:51.117 	0.602	6.673203e-007	29.02.2024 03:51:51.167 	0.652	1.943413e-008	29.02.2024 03:51:51.216 	0.702	1.184379e-011	29.02.2024 03:51:51.266 	0.752	1.354482e-010
29.02.2024 03:51:51.317 	0.802	6.622716e-007	29.02.2024 03:51:51.368 	0.853	1.906414e-008	29.02.2024 03:51:51.418 	0.904	8.103962e-012	29.02.2024 03:51:51.470 	0.955	1.248588e-010
29.02.2024 03:51:51.520 	1.005	6.330758e-007	29.02.2024 03:51:51.569 	1.055	1.786969e-008	29.02.2024 03:51:51.619 	1.105	1.304763e-010	29.02.2024 03:51:51.674 	1.160	5.142947e-009
29.02.2024 03:51:51.725 	1.210	5.860311e-007	29.02.2024 03:51:51.774 	1.259	1.677023e-008	29.02.2024 03:51:51.829 	1.314	1.689148e-009	29.02.2024 03:51:51.879 	1.364	2.732259e-008
29.02.2024 03:51:51.929 	1.415	5.680360e-007	29.02.2024 03:51:51.980 	1.465	1.547041e-008	29.02.2024 03:51:52.030 	1.515	3.079966e-009	29.02.2024 03:51:52.080 	1.565	4.249566e-008
29.02.2024 03:51:52.129 	1.615	5.620695e-007	29.02.2024 03:51:52.179 	1.665	1.527569e-008	29.02.2024 03:51:52.230 	1.715	3.904911e-009	29.02.2024 03:51:52.280 	1.766	5.147563e-008
29.02.2024 03:51:52.330 	1.816	5.688556e-007	29.02.2024 03:51:52.381 	1.866	1.604818e-008	29.02.2024 03:51:52.431 	1.916	4.478743e-009	29.02.2024 03:51:52.480 	1.966	5.789389e-008
29.02.2024 03:51:52.530 	2.016	5.821030e-007	29.02.2024 03:51:52.581 	2.066	1.693887e-008	29.02.2024 03:51:52.631 	2.116	4.906032e-009	29.02.2024 03:51:52.680 	2.166	6.262697e-008
29.02.2024 03:51:52.730 	2.216	5.955783e-007	29.02.2024 03:51:52.781 	2.266	1.766841e-008	29.02.2024 03:51:52.831 	2.316	5.241575e-009	29.02.2024 03:51:52.880 	2.366	6.632462e-008
