Sourcefile	20240228 130310 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 01:05:26.656 

Start Time	28.02.2024 01:03:26.924 
End Time	28.02.2024 01:04:07.482 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 01:03:26.924 	0.000	6.867798e-007	28.02.2024 01:03:26.974 	0.050	8.442649e-009	28.02.2024 01:03:27.024 	0.101	1.068299e-009	28.02.2024 01:03:27.074 	0.151	1.328485e-008
28.02.2024 01:03:27.125 	0.201	6.926589e-007	28.02.2024 01:03:27.175 	0.251	8.500945e-009	28.02.2024 01:03:27.224 	0.301	1.085757e-009	28.02.2024 01:03:27.274 	0.351	1.347385e-008
28.02.2024 01:03:27.325 	0.401	6.969066e-007	28.02.2024 01:03:27.376 	0.452	8.542988e-009	28.02.2024 01:03:27.425 	0.502	1.092396e-009	28.02.2024 01:03:27.475 	0.552	1.358908e-008
28.02.2024 01:03:27.526 	0.602	6.989723e-007	28.02.2024 01:03:27.576 	0.652	8.576030e-009	28.02.2024 01:03:27.625 	0.702	1.100644e-009	28.02.2024 01:03:27.676 	0.752	1.364455e-008
28.02.2024 01:03:27.727 	0.803	7.000940e-007	28.02.2024 01:03:27.776 	0.853	8.592432e-009	28.02.2024 01:03:27.826 	0.903	1.104200e-009	28.02.2024 01:03:27.877 	0.953	1.368430e-008
28.02.2024 01:03:27.927 	1.003	7.005228e-007	28.02.2024 01:03:27.977 	1.054	8.597241e-009	28.02.2024 01:03:28.028 	1.104	1.107900e-009	28.02.2024 01:03:28.078 	1.154	1.370323e-008
28.02.2024 01:03:28.128 	1.205	7.010295e-007	28.02.2024 01:03:28.178 	1.255	8.599531e-009	28.02.2024 01:03:28.229 	1.305	1.107549e-009	28.02.2024 01:03:28.279 	1.355	1.371986e-008
28.02.2024 01:03:28.328 	1.405	7.011423e-007	28.02.2024 01:03:28.378 	1.455	8.579157e-009	28.02.2024 01:03:28.429 	1.505	1.112029e-009	28.02.2024 01:03:28.479 	1.555	1.374313e-008
28.02.2024 01:03:28.528 	1.605	7.017710e-007	28.02.2024 01:03:28.578 	1.655	8.591747e-009	28.02.2024 01:03:28.630 	1.706	1.114706e-009	28.02.2024 01:03:28.680 	1.756	1.374389e-008
28.02.2024 01:03:28.729 	1.806	7.016678e-007	28.02.2024 01:03:28.780 	1.856	8.592357e-009	28.02.2024 01:03:28.830 	1.906	1.113410e-009	28.02.2024 01:03:28.880 	1.956	1.376602e-008
28.02.2024 01:03:28.929 	2.006	7.013682e-007	28.02.2024 01:03:28.979 	2.056	8.599911e-009	28.02.2024 01:03:29.030 	2.106	1.108335e-009	28.02.2024 01:03:29.080 	2.156	1.376740e-008
28.02.2024 01:03:29.129 	2.206	7.013041e-007	28.02.2024 01:03:29.180 	2.256	8.603420e-009	28.02.2024 01:03:29.230 	2.306	1.112921e-009	28.02.2024 01:03:29.280 	2.356	1.376412e-008
28.02.2024 01:03:29.330 	2.407	7.015626e-007	28.02.2024 01:03:29.381 	2.457	8.598918e-009	28.02.2024 01:03:29.431 	2.507	1.107839e-009	28.02.2024 01:03:29.480 	2.557	1.375450e-008
28.02.2024 01:03:29.530 	2.607	7.011736e-007	28.02.2024 01:03:29.581 	2.657	8.584802e-009	28.02.2024 01:03:29.632 	2.708	1.113975e-009	28.02.2024 01:03:29.681 	2.758	1.379013e-008
28.02.2024 01:03:29.731 	2.808	7.014888e-007	28.02.2024 01:03:29.782 	2.858	8.595868e-009	28.02.2024 01:03:29.832 	2.908	1.112883e-009	28.02.2024 01:03:29.881 	2.958	1.378563e-008
28.02.2024 01:03:29.932 	3.008	7.010880e-007	28.02.2024 01:03:29.983 	3.059	8.603191e-009	28.02.2024 01:03:30.032 	3.109	1.112418e-009	28.02.2024 01:03:30.082 	3.159	1.379319e-008
28.02.2024 01:03:30.133 	3.209	7.009363e-007	28.02.2024 01:03:30.183 	3.259	8.616927e-009	28.02.2024 01:03:30.232 	3.309	1.110227e-009	28.02.2024 01:03:30.282 	3.359	1.377846e-008
28.02.2024 01:03:30.333 	3.409	7.009361e-007	28.02.2024 01:03:30.383 	3.459	8.606094e-009	28.02.2024 01:03:30.432 	3.509	1.111243e-009	28.02.2024 01:03:30.482 	3.559	1.380761e-008
28.02.2024 01:03:30.533 	3.609	7.008226e-007	28.02.2024 01:03:30.583 	3.659	8.593962e-009	28.02.2024 01:03:30.632 	3.709	1.111754e-009	28.02.2024 01:03:30.684 	3.760	1.381218e-008
28.02.2024 01:03:30.734 	3.810	7.009772e-007	28.02.2024 01:03:30.783 	3.859	8.595485e-009	28.02.2024 01:03:30.833 	3.910	1.116126e-009	28.02.2024 01:03:30.883 	3.960	1.380219e-008
28.02.2024 01:03:30.934 	4.010	7.007120e-007	28.02.2024 01:03:30.984 	4.060	8.582896e-009	28.02.2024 01:03:31.033 	4.110	1.109854e-009	28.02.2024 01:03:31.084 	4.160	1.381310e-008
28.02.2024 01:03:31.135 	4.211	7.007670e-007	28.02.2024 01:03:31.184 	4.261	8.586174e-009	28.02.2024 01:03:31.234 	4.311	1.110891e-009	28.02.2024 01:03:31.285 	4.361	1.382394e-008
28.02.2024 01:03:31.335 	4.411	7.008410e-007	28.02.2024 01:03:31.384 	4.461	8.580377e-009	28.02.2024 01:03:31.434 	4.511	1.114791e-009	28.02.2024 01:03:31.485 	4.561	1.380906e-008
28.02.2024 01:03:31.535 	4.611	7.009249e-007	28.02.2024 01:03:31.584 	4.661	8.579994e-009	28.02.2024 01:03:31.635 	4.712	1.110739e-009	28.02.2024 01:03:31.686 	4.762	1.379990e-008
28.02.2024 01:03:31.736 	4.812	7.005686e-007	28.02.2024 01:03:31.785 	4.862	8.580225e-009	28.02.2024 01:03:31.836 	4.912	1.110190e-009	28.02.2024 01:03:31.886 	4.962	1.379563e-008
28.02.2024 01:03:31.936 	5.013	7.008211e-007	28.02.2024 01:03:31.986 	5.063	8.594266e-009	28.02.2024 01:03:32.037 	5.113	1.115577e-009	28.02.2024 01:03:32.087 	5.163	1.380921e-008
28.02.2024 01:03:32.136 	5.213	7.011287e-007	28.02.2024 01:03:32.186 	5.263	8.591369e-009	28.02.2024 01:03:32.237 	5.313	1.112662e-009	28.02.2024 01:03:32.287 	5.363	1.380234e-008
28.02.2024 01:03:32.336 	5.413	7.007401e-007	28.02.2024 01:03:32.386 	5.463	8.587321e-009	28.02.2024 01:03:32.438 	5.514	1.116179e-009	28.02.2024 01:03:32.487 	5.563	1.381341e-008
28.02.2024 01:03:32.536 	5.613	7.009467e-007	28.02.2024 01:03:32.586 	5.663	8.579157e-009	28.02.2024 01:03:32.638 	5.714	1.113600e-009	28.02.2024 01:03:32.688 	5.764	1.380654e-008
28.02.2024 01:03:32.737 	5.814	7.005532e-007	28.02.2024 01:03:32.787 	5.864	8.575111e-009	28.02.2024 01:03:32.838 	5.914	1.113539e-009	28.02.2024 01:03:32.888 	5.964	1.379768e-008
28.02.2024 01:03:32.937 	6.014	7.000428e-007	28.02.2024 01:03:32.988 	6.064	8.575799e-009	28.02.2024 01:03:33.038 	6.114	1.114684e-009	28.02.2024 01:03:33.088 	6.165	1.380509e-008
28.02.2024 01:03:33.138 	6.215	7.002259e-007	28.02.2024 01:03:33.189 	6.265	8.601665e-009	28.02.2024 01:03:33.239 	6.315	1.116347e-009	28.02.2024 01:03:33.288 	6.365	1.381425e-008
28.02.2024 01:03:33.338 	6.415	7.002038e-007	28.02.2024 01:03:33.389 	6.465	8.599684e-009	28.02.2024 01:03:33.439 	6.515	1.113852e-009	28.02.2024 01:03:33.489 	6.566	1.380196e-008
28.02.2024 01:03:33.539 	6.616	7.000435e-007	28.02.2024 01:03:33.590 	6.666	8.586101e-009	28.02.2024 01:03:33.640 	6.716	1.116836e-009	28.02.2024 01:03:33.690 	6.767	1.379037e-008
28.02.2024 01:03:33.741 	6.817	6.999375e-007	28.02.2024 01:03:33.791 	6.867	8.596399e-009	28.02.2024 01:03:33.840 	6.917	1.114051e-009	28.02.2024 01:03:33.890 	6.967	1.378304e-008
28.02.2024 01:03:33.941 	7.017	6.997865e-007	28.02.2024 01:03:33.991 	7.067	8.582057e-009	28.02.2024 01:03:34.040 	7.117	1.110335e-009	28.02.2024 01:03:34.090 	7.167	1.377442e-008
28.02.2024 01:03:34.142 	7.218	6.993524e-007	28.02.2024 01:03:34.191 	7.267	8.573888e-009	28.02.2024 01:03:34.241 	7.318	1.111273e-009	28.02.2024 01:03:34.291 	7.368	1.378762e-008
28.02.2024 01:03:34.342 	7.418	6.995995e-007	28.02.2024 01:03:34.392 	7.468	8.577558e-009	28.02.2024 01:03:34.442 	7.519	1.113150e-009	28.02.2024 01:03:34.493 	7.569	1.380128e-008
28.02.2024 01:03:34.543 	7.619	6.996117e-007	28.02.2024 01:03:34.592 	7.669	8.568246e-009	28.02.2024 01:03:34.642 	7.719	1.113059e-009	28.02.2024 01:03:34.693 	7.769	1.380509e-008
28.02.2024 01:03:34.743 	7.819	6.996325e-007	28.02.2024 01:03:34.792 	7.869	8.561680e-009	28.02.2024 01:03:34.844 	7.920	1.112700e-009	28.02.2024 01:03:34.894 	7.970	1.379708e-008
28.02.2024 01:03:34.944 	8.020	6.997024e-007	28.02.2024 01:03:34.993 	8.070	8.572441e-009	28.02.2024 01:03:35.043 	8.120	1.115065e-009	28.02.2024 01:03:35.094 	8.170	1.379990e-008
28.02.2024 01:03:35.144 	8.221	6.996343e-007	28.02.2024 01:03:35.194 	8.271	8.582821e-009	28.02.2024 01:03:35.245 	8.321	1.113112e-009	28.02.2024 01:03:35.295 	8.371	1.378510e-008
