Sourcefile	20240229 113833 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 11:40:21.926 

Start Time	29.02.2024 11:38:48.569 
End Time	29.02.2024 11:39:39.403 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 11:38:48.568 	0.000	6.093142e-007	29.02.2024 11:38:48.620 	0.051	1.788800e-008	29.02.2024 11:38:48.670 	0.101	6.684226e-012	29.02.2024 11:38:48.720 	0.151	6.507851e-011
29.02.2024 11:38:48.769 	0.201	6.087248e-007	29.02.2024 11:38:48.819 	0.251	1.785908e-008	29.02.2024 11:38:48.870 	0.301	6.658283e-012	29.02.2024 11:38:48.920 	0.351	6.455821e-011
29.02.2024 11:38:48.969 	0.401	6.085766e-007	29.02.2024 11:38:49.020 	0.451	1.788075e-008	29.02.2024 11:38:49.071 	0.502	6.501746e-012	29.02.2024 11:38:49.120 	0.552	6.434790e-011
29.02.2024 11:38:49.170 	0.602	6.084200e-007	29.02.2024 11:38:49.221 	0.652	1.786175e-008	29.02.2024 11:38:49.271 	0.702	6.718335e-012	29.02.2024 11:38:49.320 	0.752	6.509266e-011
29.02.2024 11:38:49.372 	0.803	6.084024e-007	29.02.2024 11:38:49.422 	0.853	1.786213e-008	29.02.2024 11:38:49.472 	0.904	6.736861e-012	29.02.2024 11:38:49.522 	0.954	6.546355e-011
29.02.2024 11:38:49.573 	1.004	6.083259e-007	29.02.2024 11:38:49.623 	1.054	1.787327e-008	29.02.2024 11:38:49.672 	1.104	6.443338e-012	29.02.2024 11:38:49.722 	1.154	6.513921e-011
29.02.2024 11:38:49.774 	1.205	6.080491e-007	29.02.2024 11:38:49.824 	1.255	1.783413e-008	29.02.2024 11:38:49.874 	1.306	6.536321e-012	29.02.2024 11:38:49.925 	1.356	6.565338e-011
29.02.2024 11:38:49.975 	1.406	6.076868e-007	29.02.2024 11:38:50.024 	1.456	1.783451e-008	29.02.2024 11:38:50.076 	1.507	6.740753e-012	29.02.2024 11:38:50.126 	1.557	6.473311e-011
29.02.2024 11:38:50.176 	1.607	6.079333e-007	29.02.2024 11:38:50.225 	1.657	1.783642e-008	29.02.2024 11:38:50.275 	1.707	6.735562e-012	29.02.2024 11:38:50.326 	1.757	6.517124e-011
29.02.2024 11:38:50.376 	1.807	6.076462e-007	29.02.2024 11:38:50.425 	1.857	1.784871e-008	29.02.2024 11:38:50.477 	1.908	6.481139e-012	29.02.2024 11:38:50.527 	1.958	6.556800e-011
