"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"		
"20.10.2023 15:20:31.107"	1.0662e-011	7.6412e-014	2.7357e-013	3.3074e-014	1.9967e-012	7.6700e-014	1.1282e-005	
"20.10.2023 15:20:31.391"	1.0568e-011	7.6543e-014	2.6674e-013	3.1550e-014	1.8914e-012	7.3694e-014	1.1283e-005	
"20.10.2023 15:20:31.674"	1.0529e-011	7.6455e-014	2.6765e-013	3.1986e-014	1.8315e-012	7.4009e-014	1.1283e-005	
"20.10.2023 15:20:31.958"	1.0991e-011	7.3444e-014	2.6828e-013	3.1717e-014	1.9121e-012	7.4565e-014	1.1283e-005	
"20.10.2023 15:20:32.241"	1.0494e-011	7.8249e-014	2.6483e-013	3.0973e-014	1.8697e-012	7.6418e-014	1.1283e-005	
"20.10.2023 15:20:32.524"	1.0547e-011	7.6975e-014	2.7235e-013	3.2574e-014	1.8547e-012	7.3472e-014	1.1216e-005	
"20.10.2023 15:20:32.808"	1.0748e-011	7.5055e-014	2.6957e-013	3.2077e-014	1.9311e-012	7.6980e-014	1.1216e-005	
"20.10.2023 15:20:33.091"	1.0717e-011	7.7367e-014	2.6776e-013	3.1936e-014	1.9079e-012	7.5477e-014	1.1216e-005	
"20.10.2023 15:20:33.375"	1.0358e-011	7.8340e-014	2.6600e-013	3.1513e-014	1.8629e-012	7.5082e-014	1.1216e-005	
"20.10.2023 15:20:33.658"	1.0409e-011	7.7676e-014	2.6794e-013	3.1437e-014	1.9192e-012	7.5596e-014	1.1240e-005	
"20.10.2023 15:20:33.942"	1.0573e-011	7.6706e-014	2.6801e-013	3.1895e-014	1.9084e-012	7.4347e-014	1.1240e-005	
"20.10.2023 15:20:34.225"	1.0647e-011	7.5356e-014	2.7560e-013	3.3726e-014	1.8474e-012	7.2227e-014	1.1240e-005	
"20.10.2023 15:20:34.508"	1.0507e-011	7.6039e-014	2.7056e-013	3.1600e-014	1.9120e-012	7.6941e-014	1.1240e-005	
"20.10.2023 15:20:34.792"	1.0573e-011	7.6659e-014	2.7043e-013	3.2063e-014	1.9244e-012	7.5977e-014	1.1101e-005	
"20.10.2023 15:20:35.075"	1.0499e-011	7.6956e-014	2.7197e-013	3.2454e-014	1.8102e-012	7.1763e-014	1.1101e-005	
"20.10.2023 15:20:35.359"	1.0732e-011	7.4735e-014	2.6246e-013	3.0573e-014	1.8423e-012	7.3473e-014	1.1101e-005	
"20.10.2023 15:20:35.643"	1.0678e-011	7.5339e-014	2.6684e-013	3.1288e-014	1.8887e-012	7.4910e-014	1.1101e-005	
"20.10.2023 15:20:35.926"	1.0593e-011	7.6089e-014	2.7265e-013	3.2548e-014	1.8707e-012	7.4883e-014	1.1085e-005	
"20.10.2023 15:20:36.209"	1.0465e-011	7.6543e-014	2.6991e-013	3.1510e-014	1.8609e-012	7.6121e-014	1.1085e-005	
"20.10.2023 15:20:36.493"	1.0667e-011	7.5267e-014	2.6461e-013	3.1004e-014	1.8779e-012	7.4846e-014	1.1085e-005	
"20.10.2023 15:20:36.776"	1.0763e-011	7.4631e-014	2.8496e-013	3.5082e-014	1.9331e-012	7.6428e-014	1.1180e-005	
"20.10.2023 15:20:37.060"	1.0557e-011	7.7536e-014	2.7252e-013	3.2126e-014	1.8464e-012	7.4318e-014	1.1180e-005	
"20.10.2023 15:20:37.343"	1.0768e-011	7.4509e-014	2.6106e-013	3.0439e-014	1.8536e-012	7.3242e-014	1.1180e-005	
"20.10.2023 15:20:37.627"	1.0262e-011	7.8259e-014	2.6475e-013	3.0805e-014	1.8288e-012	7.1059e-014	1.1180e-005	
"20.10.2023 15:20:37.910"	1.0487e-011	7.6170e-014	2.7080e-013	3.2122e-014	1.8314e-012	7.3319e-014	1.1164e-005	
"20.10.2023 15:20:38.193"	1.0909e-011	7.3817e-014	2.6721e-013	3.0947e-014	1.8867e-012	7.3811e-014	1.1164e-005	
"20.10.2023 15:20:38.478"	1.0537e-011	7.7263e-014	2.6775e-013	3.1948e-014	1.9135e-012	7.6966e-014	1.1164e-005	
