Sourcefile	20240122 135004 RI_Tuana.qmp
Exporttime	1.22.2024 01:51:17.590 

Start Time	1.22.2024 01:50:51.880 
End Time	1.22.2024 01:50:58.113 

		H2			He			Ar	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
1.22.2024 01:50:51.880 	0.000	8.285214e-007	1.22.2024 01:50:51.929 	0.050	2.064728e-008	1.22.2024 01:50:51.980 	0.100	3.501037e-008
1.22.2024 01:50:52.030 	0.150	8.281094e-007	1.22.2024 01:50:52.080 	0.200	2.062836e-008	1.22.2024 01:50:52.129 	0.250	3.498687e-008
1.22.2024 01:50:52.179 	0.300	8.277796e-007	1.22.2024 01:50:52.230 	0.350	2.062287e-008	1.22.2024 01:50:52.280 	0.401	3.499687e-008
1.22.2024 01:50:52.330 	0.451	8.279385e-007	1.22.2024 01:50:52.381 	0.501	2.063065e-008	1.22.2024 01:50:52.431 	0.551	3.500282e-008
1.22.2024 01:50:52.480 	0.601	8.283214e-007	1.22.2024 01:50:52.530 	0.651	2.063423e-008	1.22.2024 01:50:52.582 	0.702	3.500610e-008
1.22.2024 01:50:52.632 	0.752	8.280857e-007	1.22.2024 01:50:52.681 	0.802	2.062919e-008	1.22.2024 01:50:52.732 	0.852	3.497620e-008
1.22.2024 01:50:52.782 	0.902	8.277887e-007	1.22.2024 01:50:52.832 	0.953	2.064934e-008	1.22.2024 01:50:52.882 	1.003	3.499649e-008
1.22.2024 01:50:52.933 	1.053	8.281949e-007	1.22.2024 01:50:52.983 	1.103	2.063667e-008	1.22.2024 01:50:53.033 	1.154	3.501037e-008
1.22.2024 01:50:53.082 	1.203	8.282507e-007	1.22.2024 01:50:53.133 	1.253	2.062812e-008	1.22.2024 01:50:53.183 	1.303	3.499100e-008
1.22.2024 01:50:53.232 	1.353	8.283094e-007	1.22.2024 01:50:53.282 	1.403	2.065941e-008	1.22.2024 01:50:53.333 	1.453	3.499534e-008
1.22.2024 01:50:53.384 	1.504	8.280819e-007	1.22.2024 01:50:53.433 	1.554	2.064011e-008	1.22.2024 01:50:53.484 	1.604	3.500487e-008
1.22.2024 01:50:53.535 	1.655	8.283695e-007	1.22.2024 01:50:53.584 	1.705	2.064317e-008	1.22.2024 01:50:53.634 	1.755	3.501709e-008
1.22.2024 01:50:53.685 	1.805	8.285939e-007	1.22.2024 01:50:53.735 	1.855	2.064630e-008	1.22.2024 01:50:53.785 	1.906	3.501535e-008
1.22.2024 01:50:53.834 	1.955	8.284321e-007	1.22.2024 01:50:53.885 	2.005	2.062722e-008	1.22.2024 01:50:53.935 	2.055	3.503579e-008
1.22.2024 01:50:53.984 	2.105	8.281551e-007	1.22.2024 01:50:54.035 	2.156	2.063294e-008	1.22.2024 01:50:54.085 	2.205	3.499566e-008
1.22.2024 01:50:54.135 	2.255	8.281154e-007	1.22.2024 01:50:54.185 	2.306	2.061348e-008	1.22.2024 01:50:54.236 	2.356	3.499778e-008
1.22.2024 01:50:54.286 	2.406	8.284940e-007	1.22.2024 01:50:54.336 	2.456	2.063866e-008	1.22.2024 01:50:54.385 	2.506	3.500068e-008
1.22.2024 01:50:54.435 	2.556	8.283054e-007	1.22.2024 01:50:54.486 	2.606	2.064148e-008	1.22.2024 01:50:54.536 	2.656	3.498496e-008
1.22.2024 01:50:54.585 	2.706	8.277964e-007	1.22.2024 01:50:54.636 	2.756	2.063934e-008	1.22.2024 01:50:54.686 	2.806	3.501046e-008
1.22.2024 01:50:54.736 	2.856	8.286394e-007	1.22.2024 01:50:54.785 	2.906	2.062904e-008	1.22.2024 01:50:54.835 	2.956	3.501038e-008
1.22.2024 01:50:54.887 	3.007	8.287458e-007	1.22.2024 01:50:54.936 	3.057	2.063408e-008	1.22.2024 01:50:54.986 	3.107	3.502105e-008
1.22.2024 01:50:55.037 	3.157	8.283483e-007	1.22.2024 01:50:55.087 	3.207	2.063133e-008	1.22.2024 01:50:55.137 	3.258	3.499762e-008
1.22.2024 01:50:55.187 	3.308	8.287977e-007	1.22.2024 01:50:55.238 	3.358	2.066056e-008	1.22.2024 01:50:55.288 	3.408	3.502312e-008
1.22.2024 01:50:55.337 	3.458	8.286939e-007	1.22.2024 01:50:55.388 	3.508	2.064080e-008	1.22.2024 01:50:55.438 	3.558	3.503861e-008
1.22.2024 01:50:55.488 	3.608	8.291731e-007	1.22.2024 01:50:55.537 	3.658	2.067322e-008	1.22.2024 01:50:55.589 	3.709	3.502151e-008
1.22.2024 01:50:55.639 	3.759	8.290708e-007	1.22.2024 01:50:55.688 	3.809	2.065957e-008	1.22.2024 01:50:55.738 	3.859	3.502593e-008
1.22.2024 01:50:55.789 	3.909	8.286542e-007	1.22.2024 01:50:55.839 	3.959	2.065117e-008	1.22.2024 01:50:55.888 	4.009	3.502945e-008
1.22.2024 01:50:55.938 	4.059	8.288891e-007	1.22.2024 01:50:55.990 	4.110	2.066148e-008	1.22.2024 01:50:56.040 	4.160	3.502914e-008
1.22.2024 01:50:56.089 	4.210	8.290648e-007	1.22.2024 01:50:56.140 	4.260	2.065895e-008	1.22.2024 01:50:56.190 	4.310	3.502769e-008
1.22.2024 01:50:56.240 	4.360	8.288200e-007	1.22.2024 01:50:56.289 	4.410	2.065553e-008	1.22.2024 01:50:56.339 	4.460	3.503272e-008
1.22.2024 01:50:56.390 	4.510	8.287594e-007	1.22.2024 01:50:56.440 	4.560	2.067506e-008	1.22.2024 01:50:56.489 	4.610	3.503678e-008
1.22.2024 01:50:56.540 	4.660	8.292249e-007	1.22.2024 01:50:56.589 	4.709	2.062523e-008	1.22.2024 01:50:56.640 	4.760	3.504898e-008
1.22.2024 01:50:56.688 	4.809	8.291950e-007	1.22.2024 01:50:56.738 	4.859	2.067261e-008	1.22.2024 01:50:56.789 	4.909	3.504639e-008
1.22.2024 01:50:56.840 	4.960	8.289144e-007	1.22.2024 01:50:56.889 	5.010	2.067047e-008	1.22.2024 01:50:56.940 	5.060	3.504388e-008
1.22.2024 01:50:56.990 	5.110	8.288434e-007	1.22.2024 01:50:57.040 	5.160	2.063644e-008	1.22.2024 01:50:57.089 	5.210	3.503746e-008
1.22.2024 01:50:57.139 	5.260	8.291099e-007	1.22.2024 01:50:57.191 	5.311	2.067543e-008	1.22.2024 01:50:57.240 	5.361	3.504105e-008
1.22.2024 01:50:57.290 	5.411	8.291883e-007	1.22.2024 01:50:57.341 	5.461	2.066369e-008	1.22.2024 01:50:57.391 	5.511	3.503990e-008
1.22.2024 01:50:57.440 	5.561	8.282900e-007	1.22.2024 01:50:57.491 	5.612	2.065721e-008	1.22.2024 01:50:57.542 	5.662	3.503908e-008
1.22.2024 01:50:57.592 	5.712	8.291531e-007	1.22.2024 01:50:57.641 	5.762	2.066597e-008	1.22.2024 01:50:57.692 	5.812	3.507630e-008
1.22.2024 01:50:57.742 	5.862	8.299390e-007	1.22.2024 01:50:57.792 	5.913	2.064880e-008	1.22.2024 01:50:57.842 	5.963	3.506914e-008
1.22.2024 01:50:57.893 	6.013	8.294445e-007	1.22.2024 01:50:57.943 	6.063	2.066696e-008	1.22.2024 01:50:57.992 	6.113	3.506990e-008
1.22.2024 01:50:58.042 	6.163	8.293394e-007	1.22.2024 01:50:58.093 	6.213	2.066956e-008
